Gene	C3N_01408	C3N_02088	C3N_03076	C3N_01489	C3N_02928	C3N_03057	C3N_00560	C3N_02150	C3N_00551	C3N_02089	C3N_03054	C3N_01028	C3N_01016	C3N_02153	C3N_00556	C3N_04127	C3N_00578	C3N_01023	C3N_00545	C3N_02421	C3N_00180	C3N_02425	C3N_00546	C3N_00580	C3N_02424	C3N_02572	C3N_00167	C3N_02155	C3N_00555	C3N_01415	C3N_00547	C3N_02090	C3N_01017	C3N_02142	C3N_01019	C3N_01410	C3N_00169	C3N_03073
TSPAN6	11.0988703346457	11.9670550864365	11.4585495461455	10.1749607100526	12.2745951101232	11.4164618727675	11.6136400534287	10.6721721073061	11.0231008444504	10.7405664674515	10.8658944931549	11.1547011767065	11.3294318625978	12.1664795484645	11.2524055453877	10.9111333588614	11.5410142774889	10.4398840453863	10.3670188303965	9.57086376480365	9.26610437940195	11.2944785565342	10.3676571085347	11.5605459288212	9.51609731053942	10.4487820900296	11.1415974165765	11.5095928721361	11.1736997991828	11.9880473800396	9.79144325147339	10.8931230419603	11.00774817852	10.6841511675343	10.2397809564466	10.776627396369	10.736681921573	10.7222475801137
TNMD	6.88760996212094	7.26945550460793	7.50561699857182	7.07367984586799	7.01496901790032	7.31731034897431	7.15885161884013	6.64595841497947	6.90024698786591	6.88333053081158	6.75014683463527	7.01666486215944	6.86765408090185	7.2075547765015	7.33417244842086	7.07822598905032	7.15330506777845	6.81547334705972	6.91429660586925	6.82587421660424	6.91456134458001	6.71724476604696	6.97749266608271	11.3486206413213	6.60393211154558	7.18070145879078	7.08441567161178	6.90585159462358	6.96083843772048	7.22623319081608	6.78518027215909	6.91320250099675	6.91796772502428	6.8375945434091	6.80077150372291	6.9454873163711	6.65942687050701	6.85428880428684
DPM1	10.1068439994278	10.0625155459563	10.9489085676304	10.044272203676	10.0676113594024	10.090425182463	11.6033202716968	10.3719767238011	10.9955760368049	10.5796205524273	10.3037840219859	10.545498321888	10.4802855575832	10.4940160979702	10.3023820118103	11.4654272428335	10.4341344375706	10.307881231754	10.3155928227248	9.87226769304402	9.97810568431775	10.5768945780171	10.3666073527546	10.8088834573968	10.1636911294657	10.3270305446967	10.0153621533606	11.1137073299699	11.217970090401	10.5161993505213	9.73736841112003	10.1909641796151	10.504553896032	10.3031820020395	10.3058103926357	10.3224568324606	10.1539653703776	10.2360164861939
SCYL3	10.5993522707688	10.6431630367413	10.6722126073935	10.0172380468125	10.810180403844	10.7262865326902	10.2809366923878	10.6418526635962	10.0961017239209	10.3567566709648	10.5789581856383	10.0814797929885	10.7413324741567	11.097167449924	10.6393869021333	10.0737763506896	10.8851438731412	10.3332209162588	9.98527431951931	10.7640501475325	10.3565583106389	10.3585674131962	10.2777937700256	10.6881134300179	10.0374196765264	10.7653421529333	10.2477094145314	11.1427932265531	9.61850416011021	10.0911806372035	10.6298333748608	10.5491796720723	10.6096015794522	10.1384725051457	10.3944204292589	10.1569731421144	10.3070207181393	11.5054610746237
C1orf112	9.59395493454806	9.54790057964857	10.223253659358	9.44154035932746	9.85858580355497	9.54703289577603	10.2175365191397	9.66736499124991	9.5612738080285	10.5003196343627	9.44845392659636	9.86898581306279	10.1160924090819	9.56376526774976	10.0092134613003	9.43700098904206	9.29259248903411	9.48649501057053	8.86347973664388	9.30117492617619	9.63727610521071	9.70997111110392	9.26271156379267	10.1092422890291	9.47440665575703	9.64534156812463	9.43475335932874	11.2081110518502	9.46520484437825	9.93282300496226	9.4844698534083	9.2368011275753	10.1860272010629	9.37292187336339	9.85852596131562	9.36795793685715	10.1220196313594	10.2599945144421
FGR	10.7551864101961	10.0690732861911	10.1672554022807	10.704348842695	10.079817772841	9.80123522197138	9.46633624832518	9.89005741800013	9.85233538793499	10.4616822005926	9.98232616160174	10.5932395770015	9.50050648231087	8.90445268380782	9.94182265520217	10.8987242908153	9.52330632922336	10.4525435649344	11.9144736462716	9.4345808282187	9.1393479955502	9.80416988393425	9.88977843507829	9.5126583103353	10.5720309852667	9.4276095265845	10.2318423404772	9.13590195229872	10.2385514666094	9.74988456083618	9.68800869361462	10.0381841029127	10.2473387230466	9.92475187417617	9.9260880281934	10.1645814054328	9.68825877125191	9.26386112798095
CFH	13.8414176629636	13.1992619580046	12.3795248773103	12.6046592163335	14.1840737741048	13.5614144880512	11.4602078407861	12.0792877579321	12.8504513063434	12.5328681785937	14.0258852968191	12.7246042392465	12.7365928145808	12.9957984763274	13.3701615598549	13.4767797382359	14.2805512657004	12.6159786591016	12.4628946509282	12.6430999841165	11.6861212740722	10.9211803614821	12.5268707184192	12.5724086102431	12.120592826382	13.0731286904024	12.3032798022771	12.9623785333661	11.6054799717189	13.2043515883825	11.7306897981731	14.6014686567972	11.8537362897128	12.9648796027624	11.8449503923448	12.3626290324865	12.5842422303095	12.5869882257915
FUCA2	11.3973535909216	11.0705135345006	11.234397952779	10.4325960155668	10.1640922294127	10.21428808781	11.5043982508075	10.4949888194222	11.2828451238233	11.441107311299	10.1156218860289	11.0095423370489	10.8429826346346	9.98477479342433	10.8648111016057	10.6449220912704	10.7939516901638	10.222895969196	10.4166599193022	10.2718193294267	10.2217025896442	9.3348795120884	10.2710732881097	10.2703922666544	11.5284514870727	10.4569493607911	10.268899845397	10.9959197080401	10.2471540719875	10.8737078659345	10.5233981921737	10.7343003329461	10.6749422421306	10.8238124489833	10.541281390649	10.6032667716192	10.8968180446884	10.3272187570038
GCLC	10.7989179909748	11.4327682793721	12.2404928813297	13.5962227465559	10.7187322732143	10.7716566699983	10.6172160390306	10.5137258858796	9.99186937729487	12.1400517323936	10.9840534117294	13.2498994942932	11.4548884053171	8.94211591587594	11.4511381985886	11.3734589861637	10.8593557582024	9.83392438261794	10.7517218637934	10.6671791568805	10.4599709128863	11.8356905758286	11.3556971529924	11.3843956262241	10.6206355122307	10.2596979648758	12.4835246944237	11.0162333092324	13.8551811776029	10.4189981722375	9.41134489404707	11.3141884889177	15.4986948068704	10.4699065655758	11.8159144355426	11.2067585915712	11.9368683731186	10.1682552697227
NFYA	11.0365655130712	10.9430724231715	11.599921093084	12.0641241411954	10.4956236870292	10.5879999754859	10.9056750669605	11.3440994904216	11.0350970968687	11.0085725611568	10.2147170807199	10.959192102656	10.7794881848024	11.2859699404614	11.7497733201416	10.8410852755875	10.8148080968634	10.7347758596001	10.4243429300209	11.043660018268	10.9711247960907	11.6410595488905	11.0264861773858	11.5886925715658	11.2995810340056	10.7881479102919	10.8731490094162	12.1864955762904	10.3253798800755	10.9011787570587	10.4756216237605	10.8069780638674	10.9680561282114	11.3059174753992	12.2435670414534	10.5492126422843	10.79091221207	11.1284315381607
