Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
RIG-I-like receptor signaling pathway	3/70	0.000715273883662821	0.0700968405989564	18.9422038742458	137.19544727388	TKFC;TRADD;IKBKE
Fructose and mannose metabolism	2/33	0.00307784714631626	0.084464488698487	26.7728494623656	154.841441639786	TKFC;HK1
Shigellosis	4/246	0.00330140244017464	0.084464488698487	7.08156665468918	40.4598790032455	TRADD;UBC;CAPN1;HK1
Salmonella infection	4/249	0.00344753015095865	0.084464488698487	6.99378881987578	39.6554624230777	ACTR1B;TRADD;PLEKHM1;TUBA4A
Apoptosis	3/142	0.00538205391237852	0.102580620002496	9.09735190570948	47.5307999479523	TRADD;CAPN1;TUBA4A
Pathways of neurodegeneration	5/475	0.00651123334378053	0.102580620002496	4.60520094562648	23.1836241177997	ACTR1B;UBC;CAPN1;UQCR10;TUBA4A
Necroptosis	3/159	0.00735189816081036	0.102580620002496	8.09901800327332	39.7888292916896	TRADD;CHMP1A;CAPN1
Glycerolipid metabolism	2/61	0.0102031878981959	0.102580620002496	14.0473163841808	64.407719185876	TKFC;GPAT3
Axon guidance	3/182	0.0106191782545143	0.102580620002496	7.05016046594556	32.0436395182009	SEMA4A;EPHA1;EPHA2
Kaposi sarcoma-associated herpesvirus infection	3/193	0.0124354733598914	0.102580620002496	6.63829787234043	29.1235546030305	TRADD;UBC;IKBKE
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.0124387771927725	0.102580620002496	101.765306122449	446.437935140061	HK1
Mitophagy	2/68	0.0125608922452036	0.102580620002496	12.5530303030303	54.9467110196934	ATG9B;UBC
Riboflavin metabolism	1/8	0.0198291614511851	0.143153695209878	58.1428571428572	227.954980151296	BLVRB
ECM-receptor interaction	2/88	0.0204505278871254	0.143153695209878	9.62403100775194	37.4350417297369	ITGB4;SDC1
IL-17 signaling pathway	2/94	0.0231314233527167	0.144088129014001	8.99365942028986	33.8751872133159	TRADD;IKBKE
Parkinson disease	3/249	0.0243223453048842	0.144088129014001	5.11261027503892	19.000299254742	UBC;UQCR10;TUBA4A
Glycerophospholipid metabolism	2/98	0.0249948795228369	0.144088129014001	8.6171875	31.7895310662435	ETNK2;GPAT3
Huntington disease	3/306	0.0410129092014783	0.223292505652493	4.13882452074995	13.2188608634723	ACTR1B;UQCR10;TUBA4A
Fluid shear stress and atherosclerosis	2/139	0.0472922793944308	0.231732169032711	6.02585158150852	18.3873330672393	THBD;SDC1
Measles	2/139	0.0472922793944308	0.231732169032711	6.02585158150852	18.3873330672393	TRADD;IKBKE
Human papillomavirus infection	3/331	0.0497670913831554	0.232246426454725	3.81850025947068	11.457033253248	ITGB4;TRADD;IKBKE
Proximal tubule bicarbonate reclamation	1/23	0.0559757805878795	0.249346658982372	18.4860853432282	53.2923554931915	SLC9A3
Hepatitis C	2/157	0.058709917979055	0.250155302693365	5.32123655913979	15.0864857701522	TRADD;IKBKE
Amyotrophic lateral sclerosis	3/364	0.06260581180675	0.253523800303064	3.46360582306831	9.59729555520118	ACTR1B;UQCR10;TUBA4A
Alzheimer disease	3/369	0.0646744388528226	0.253523800303064	3.4154168119986	9.35274060493235	CAPN1;UQCR10;TUBA4A
Influenza A	2/172	0.0688760185279422	0.259609608297628	4.84803921568627	12.9706730592883	TRADD;IKBKE
Galactose metabolism	1/31	0.0747164600026276	0.271193077046574	13.5510204081633	35.1520903887112	HK1
Starch and sucrose metabolism	1/36	0.0862437219743076	0.286914178301077	11.6122448979592	28.4567120450411	HK1
