	MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen
C3N_01408	-0.0466778512449091	0.132005579622191	0.107593628924148	-0.0689002690054809	0.0957879934185321	0.0945373065983424	0.156916293459984	0.0434276842758802	0.115991293426937	-0.0459510831510293	0.0618343411630172	-0.061911911406555	-0.0155159899129453	0.0695821047375931	-0.0358570723430989	0.0447990946251883	0.201497560705337	0.136365136639241	0.0435599089929415	-0.174099735180412	0.196351007351903	-0.123417760896063	0.0126294211352686	-0.030095053844329	-0.097236315694788	0.0258497994028889	-0.00443435526867385	-0.0519803108523536	0.0636741329526415	0.163670465122639	-0.0790090338488822	-0.134551232396986	0.114378029220115	-0.0725390653559928	-0.0925865913022593	0.0499298208929365	-0.0184678302738851	0.180799173647307	0.183040731916724
C3N_02088	-0.208144033328689	0.187411788459979	0.0427504054256603	0.144455684023202	0.0992864547421621	-0.0928221523213029	0.0498495182603451	0.137473281309012	-0.0885914545904913	-0.243565955192624	0.0856403421670698	0.212730346191196	0.0166383320715873	-0.0122458414285183	0.125930457289875	0.0982956929032138	0.0522724132374437	0.103500876590505	0.037674036335291	-0.169132056044413	0.1217944924216	0.162686850847394	0.0276463267167718	-0.0696860244010064	-0.0660598181565073	0.364434374069429	-0.0187386511963752	-0.110814383689929	0.0696494096354093	0.136356624638795	-0.0207495807800504	0.0965963533555073	-0.0029895793732212	-0.0816186198589535	-0.16623600728682	0.000102386003810961	-0.0716862566373025	0.207984391738044	-0.0329381195752773
C3N_03076	-0.184242715098325	-0.102826875259217	-0.323079745219183	-0.00636289793072142	-0.231817545880312	-0.252303056091367	-0.167105081228753	0.0260922091362353	-0.32533549775797	-0.245594844125642	0.0456871847002167	0.258076265721268	0.148719845741173	-0.260989355356547	0.249767660330287	0.117846331111241	-0.202186274041278	-0.263608782499391	-0.097306896394319	0.0777288451270949	-0.354820335888802	0.241116215279296	-0.0157116612120153	-0.108097978239553	0.289309073939677	-0.141620415813237	0.127875808216347	-0.218509492773067	-0.00452664095439814	-0.23789768389574	0.185582487481864	-0.0273902889306545	-0.341012864280729	-0.0415654326324397	0.200083150796489	-0.00737621150201218	0.154915168720321	-0.0625429901935013	-0.0486416269335386
C3N_01489	0.0902330423139138	-0.0500442622719942	0.0334554907722177	-0.116156617460698	0.0353210301931395	0.163559313598397	0.00045705819789138	-0.101431830933732	0.168304998542954	0.0761978073768358	-0.0781257504940588	0.0568579807887242	-0.100040307501043	-0.00593521841119318	-0.108238423042944	0.00219272652030035	0.124759557723485	0.0949065169433565	-0.0827310225943129	0.150571227840783	0.0673062024295474	0.111530871578629	0.224730572009663	0.149490285845032	-0.0817264759953875	-0.141737825931735	-0.113466675233181	0.0289354995844943	0.143529856275591	0.0338635254073293	0.0381415967361819	-0.0602247531155131	0.0776855029981126	-0.048728027505516	-0.0427383601349443	0.0996192835018241	0.162735763299402	0.164943566640288	0.109443072050217
C3N_02928	-0.210949661685676	0.184741280980262	0.0572301825885122	0.105520864600898	-0.0567685698076796	-0.179641830570628	-0.0574729662722702	0.191352030150102	-0.0814714003445899	-0.0855624782909977	0.107559729494854	0.162658128076582	0.00478727869873857	0.00580189928555434	0.105198638675994	0.0632153725187096	-0.0120773544798696	0.121437455412309	0.0262425587779841	-0.00949055589495003	-0.244491632399044	0.115656793681796	0.0802818734027776	0.0348965241957747	-0.0807856923892794	0.0577215945653063	0.00655033479623405	-0.0592702217024705	0.0654201982774565	0.111532294209437	-0.0671762536277995	-0.0246321247042668	-0.0717490994318658	-0.0748393274697988	-0.192585316510231	-0.0147490958977009	-0.1888586306058	0.116225898792684	-0.0698954762741318
C3N_03057	-0.253832381170931	0.251570384490759	0.0483894017408077	0.147367485501096	0.0336140306095296	-0.28620362987655	-0.25889662628025	-0.0389174314920751	-0.225449505786044	-0.106249039337516	0.162199173742621	0.103586039178027	-0.0870383880715451	0.087200571019932	0.176487372735997	-0.063715940863067	-0.22347429965054	0.00259866480959296	0.0281624402341785	0.182079468740925	-0.226713208254746	-0.141505564635334	0.223204637179456	-0.147268696535938	-0.0555190244197984	0.0982618740380573	0.030362505953963	-0.0501829961264394	0.220909670281619	0.0470157036265512	-0.201878385994533	0.0549856978598997	-0.139134429866423	-0.0855924013948852	-0.225843944773908	-0.166773539884102	-0.150609705344689	0.0600043005970622	-0.209937603168127
C3N_00560	0.142586216373315	-0.103663852433847	-0.0836561418746952	0.0363691779159625	0.0886851285699175	-0.0252316679337771	-0.160566461951879	-0.192973531585536	0.0155580945938527	0.0790466186163783	-0.0823799119988973	-0.14299602880086	-0.0979480411659989	0.105664240227745	-0.0148557050153829	-0.114727162767446	-0.148657412531092	-0.150412360460819	0.235212470842504	0.111082205979692	0.119794458197155	-0.100267215289882	-0.053464429098923	0.134109124430361	0.100909097629873	-0.0351673799207667	0.148298866857854	0.159270905000529	-0.0631887126369634	-0.189019484526396	-0.049603437237488	-0.00754234851462915	0.044797516657471	0.218203481166186	0.155824529099722	-0.07638914323595	0.0115317154851171	-0.168035924045633	-0.0980403007448404
C3N_02150	0.101256660041971	-0.104881422643186	-0.0280378836380787	-0.106950727523367	-0.142796548776524	0.136805470961286	-0.129397194943948	-0.106954173283982	0.00233422543125116	-0.0259855573330697	-0.195883586487357	-0.0757727246421031	-0.142227519842862	-0.0388300928508788	-0.126193090608618	-0.129936596437546	0.00635873062588013	-0.113572300140683	-0.0568740570017527	0.188738416296199	-0.109615990447669	0.0175145199700329	0.112125798259432	-0.15651338122454	-0.118578473721435	-0.163041388193735	-0.143538468284408	0.0832390423876361	-0.0288622430749049	-0.102734292731391	-0.0434490710784661	0.193089429887729	0.0965919236289061	0.0310925034829401	0.0769728350612048	-0.135427816091002	0.328976318913367	-0.029439331041021	0.235059085727466
C3N_00551	0.159961237709812	-0.0618324827468717	0.0750400147299243	-0.15702305819841	-0.00928478221060564	0.255361326207974	0.13466338016878	0.00912847404392493	0.205150985202614	0.125583457977816	-0.0805039007061953	0.0567318429532932	-0.11244832371021	0.00228593254303419	-0.187535471516945	-0.0511885714927515	0.245232686754651	0.178160816883499	-0.134698090967187	-0.0284018157820857	-0.0690915491846212	0.219757167932049	-0.00643493532812792	0.312655253825564	-0.105296529184236	-0.0905028126217931	-0.155955089651253	-0.00681029725270774	-0.0211539416343882	0.111627135845261	-0.0818283699925738	-0.116257985552102	0.0770525934734729	-0.0713407002561492	0.0172408042253971	0.138850732964919	-0.126783253421211	0.0601380281429876	0.110513446930721
C3N_02089	0.274900323682272	-0.269055129286455	-0.29972315063336	-0.075888675206567	-0.236554074009513	0.0639109441813779	-0.24508375900171	-0.258022433181856	-0.155097677649104	0.125729190155864	-0.211551711638544	-0.318491947618044	0.000638390206074539	-0.249575056625151	-0.0868419439974958	-0.18730552628646	-0.178705831536541	-0.315418208465513	-0.0214044523779682	0.140506038895944	0.115576664507253	-0.295562648467225	0.0332063108053962	-0.194127013586063	0.320718537363023	-0.200896331011468	0.147828664831013	0.123890104248837	-0.121366172933764	-0.332009863791207	0.0768588360955056	0.0946222603841179	-0.165382343497724	0.215633888109006	0.405206392724978	-0.0675622414496699	0.397857225600177	-0.198213033827046	0.209735003932511
