Module	Regulation	Count	Percentage
black	Down	206	50
black	Up	206	50
blue	Down	395	72.08
blue	Up	153	27.92
brown	Down	402	74.03
brown	Up	141	25.97
cyan	Down	204	64.35
cyan	Up	113	35.65
darkgreen	Down	48	47.52
darkgreen	Up	53	52.48
darkgrey	Down	35	38.04
darkgrey	Up	57	61.96
darkmagenta	Down	2	4
darkmagenta	Up	48	96
darkolivegreen	Down	10	18.52
darkolivegreen	Up	44	81.48
darkorange	Down	56	62.22
darkorange	Up	34	37.78
darkturquoise	Down	100	13.76
darkturquoise	Up	627	86.24
green	Down	176	45.13
green	Up	214	54.87
grey60	Down	166	82.59
grey60	Up	35	17.41
lightyellow	Down	198	48.41
lightyellow	Up	211	51.59
midnightblue	Down	233	67.54
midnightblue	Up	112	32.46
orange	Down	141	39.61
orange	Up	215	60.39
orangered4	Down	32	86.49
orangered4	Up	5	13.51
paleturquoise	Down	16	25
paleturquoise	Up	48	75
plum1	Down	8	20.51
plum1	Up	31	79.49
red	Down	183	47.66
red	Up	201	52.34
salmon	Down	85	45.21
salmon	Up	103	54.79
skyblue	Down	6	7.23
skyblue	Up	77	92.77
skyblue3	Down	31	79.49
skyblue3	Up	8	20.51
turquoise	Down	258	19.77
turquoise	Up	1047	80.23
violet	Down	2	3.51
violet	Up	55	96.49
white	Down	59	66.29
white	Up	30	33.71
yellow	Down	194	49.49
yellow	Up	198	50.51
yellowgreen	Down	7	16.28
yellowgreen	Up	36	83.72
