GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000065328.17|MCM10|protein_coding	turquoise	528.546196302865	326.649022923299	201.897173379566	124.751849543733
ENSG00000115163.15|CENPA|protein_coding	turquoise	532.132180113123	321.048612812558	211.083567300566	109.965045511992
ENSG00000164045.12|CDC25A|protein_coding	turquoise	520.945028507863	320.498857779719	200.446170728144	120.052687051575
ENSG00000010292.13|NCAPD2|protein_coding	turquoise	543.025797765433	319.917399741642	223.108398023791	96.8090017178514
ENSG00000093009.11|CDC45|protein_coding	turquoise	535.774147040994	319.781453229715	215.992693811279	103.788759418436
ENSG00000164109.14|MAD2L1|protein_coding	turquoise	511.813844938164	316.106439933544	195.707405004621	120.399034928923
ENSG00000111665.12|CDCA3|protein_coding	turquoise	539.978063236166	315.972644387787	224.005418848379	91.9672255394074
ENSG00000121152.10|NCAPH|protein_coding	turquoise	538.825189733443	315.208356034108	223.616833699335	91.5915223347729
ENSG00000089685.15|BIRC5|protein_coding	turquoise	530.201819385238	314.371813115875	215.830006269362	98.5418068465129
ENSG00000111247.15|RAD51AP1|protein_coding	turquoise	514.361280479481	313.841379162215	200.519901317267	113.321477844948
ENSG00000169679.15|BUB1|protein_coding	turquoise	514.138024410333	313.027636976947	201.110387433386	111.917249543562
ENSG00000237649.8|KIFC1|protein_coding	turquoise	525.577057883878	311.079891535615	214.497166348263	96.5827251873517
ENSG00000024526.17|DEPDC1|protein_coding	turquoise	507.900774271758	310.549747654162	197.351026617596	113.198721036566
ENSG00000088325.16|TPX2|protein_coding	turquoise	533.016575097847	310.387895743491	222.628679354356	87.7592163891348
ENSG00000112742.10|TTK|protein_coding	turquoise	524.142251718995	309.99846256438	214.143789154616	95.854673409764
ENSG00000094804.12|CDC6|protein_coding	turquoise	510.075706115056	309.765415243073	200.310290871983	109.45512437109
ENSG00000111206.13|FOXM1|protein_coding	turquoise	529.872341060971	307.8662016718	222.006139389171	85.8600622826286
ENSG00000142945.13|KIF2C|protein_coding	turquoise	524.050366051477	307.208796805589	216.841569245888	90.3672275597015
ENSG00000051180.17|RAD51|protein_coding	turquoise	521.802538172138	306.265749297349	215.536788874789	90.7289604225602
ENSG00000182481.10|KPNA2|protein_coding	turquoise	506.400521053996	304.101006409	202.299514644996	101.801491764004
ENSG00000076382.17|SPAG5|protein_coding	turquoise	516.508608937576	303.534887293619	212.973721643957	90.5611656496627
ENSG00000091651.9|ORC6|protein_coding	turquoise	509.614669987738	302.492054514292	207.122615473446	95.3694390408455
ENSG00000166508.18|MCM7|protein_coding	turquoise	508.96896934582	302.019352033384	206.949617312435	95.069734720949
ENSG00000278463.2|H2AC4|protein_coding	turquoise	515.585902980153	300.551038103665	215.034864876488	85.5161732271764
ENSG00000117724.13|CENPF|protein_coding	turquoise	494.146934577564	299.931476466264	194.215458111301	105.716018354963
ENSG00000163808.17|KIF15|protein_coding	turquoise	490.527863768486	299.621198566645	190.906665201841	108.714533364804
ENSG00000138160.7|KIF11|protein_coding	turquoise	495.432469860118	299.108405853	196.324064007118	102.784341845881
ENSG00000128944.13|KNSTRN|protein_coding	turquoise	499.699185086349	296.985985280944	202.713199805405	94.2727854755395
ENSG00000084774.14|CAD|protein_coding	turquoise	503.211918462306	294.07288608414	209.139032378166	84.9338537059745
ENSG00000156970.13|BUB1B|protein_coding	turquoise	489.08537284425	294.056082828665	195.029290015585	99.0267928130802
ENSG00000131747.15|TOP2A|protein_coding	turquoise	490.939396102468	294.050669337028	196.888726765439	97.1619425715891
ENSG00000118193.12|KIF14|protein_coding	turquoise	487.90578030579	292.568229633465	195.337550672324	97.2306789611413
ENSG00000178999.13|AURKB|protein_coding	turquoise	512.087432152855	292.55662948751	219.530802665345	73.0258268221653
ENSG00000126787.13|DLGAP5|protein_coding	turquoise	489.884320333843	292.401694897971	197.482625435872	94.9190694620997
ENSG00000117399.14|CDC20|protein_coding	turquoise	509.034527125384	291.835990278799	217.198536846585	74.6374534322144
ENSG00000135451.13|TROAP|protein_coding	turquoise	515.901833899091	291.789965888004	224.111868011087	67.6780978769166
ENSG00000140534.14|TICRR|protein_coding	turquoise	499.915260384238	290.269535048344	209.645725335894	80.6238097124497
ENSG00000011426.11|ANLN|protein_coding	turquoise	493.931364405562	290.263769972351	203.667594433212	86.596175539139
ENSG00000085840.13|ORC1|protein_coding	turquoise	480.221438233671	289.521346745485	190.700091488186	98.8212552572995
ENSG00000123485.12|HJURP|protein_coding	turquoise	515.062094242589	288.453593114051	226.608501128538	61.8450919855132
ENSG00000149503.13|INCENP|protein_coding	turquoise	499.526240959034	288.368139297342	211.158101661691	77.2100376356511
ENSG00000136982.6|DSCC1|protein_coding	turquoise	484.780130555941	287.810601529267	196.969529026674	90.8410725025938
ENSG00000196747.4|H2AC13|protein_coding	turquoise	493.038288182119	287.666724685304	205.371563496816	82.295161188488
ENSG00000099901.17|RANBP1|protein_coding	turquoise	506.296358711269	286.966122606106	219.330236105162	67.6358865009444
ENSG00000066279.18|ASPM|protein_coding	turquoise	479.409499368955	286.798951691496	192.61054767746	94.1884040140362
ENSG00000186185.14|KIF18B|protein_coding	turquoise	509.78288418828	286.15786682387	223.625017364409	62.5328494594612
ENSG00000276368.2|H2AC14|protein_coding	turquoise	504.09054185463	285.045846000121	219.044695854509	66.001150145612
ENSG00000149554.13|CHEK1|protein_coding	turquoise	491.663520247975	284.920839431262	206.742680816714	78.178158614548
ENSG00000006634.8|DBF4|protein_coding	turquoise	473.983336553759	284.698037261427	189.285299292331	95.4127379690959
ENSG00000277157.2|H4C4|protein_coding	turquoise	514.191255856955	284.390304662082	229.800951194873	54.5893534672091
ENSG00000143228.13|NUF2|protein_coding	turquoise	470.364512333745	283.057261148142	187.307251185603	95.7500099625392
ENSG00000129195.16|PIMREG|protein_coding	turquoise	502.645242313611	282.065217163215	220.580025150396	61.485192012819
ENSG00000142731.11|PLK4|protein_coding	turquoise	480.470809637562	281.324936137472	199.14587350009	82.1790626373824
ENSG00000168078.10|PBK|protein_coding	turquoise	501.13837495263	281.285157253655	219.853217698975	61.4319395546796
ENSG00000138092.11|CENPO|protein_coding	turquoise	507.247915931425	281.210193789025	226.0377221424	55.1724716466246
ENSG00000185130.5|H2BC13|protein_coding	turquoise	494.095511130624	280.446425581054	213.64908554957	66.7973400314839
ENSG00000174371.17|EXO1|protein_coding	turquoise	456.742258254525	279.492360772104	177.249897482421	102.242463289683
ENSG00000122952.17|ZWINT|protein_coding	turquoise	461.998485450456	278.756497903762	183.241987546694	95.5145103570688
ENSG00000107833.10|NPM3|protein_coding	turquoise	480.712111912415	278.531794108134	202.18031780428	76.3514763038542
ENSG00000176619.13|LMNB2|protein_coding	turquoise	493.857092315843	278.483975512214	215.373116803629	63.1108587085846
ENSG00000163811.12|WDR43|protein_coding	turquoise	494.741841327543	278.227530959261	216.514310368282	61.7132205909795
ENSG00000138778.13|CENPE|protein_coding	turquoise	476.222482604942	278.08823432129	198.134248283652	79.9539860376382
ENSG00000136108.15|CKAP2|protein_coding	turquoise	485.267189030647	278.017151897343	207.250037133304	70.7671147640383
ENSG00000108106.14|UBE2S|protein_coding	turquoise	511.047029387456	276.372398914671	234.674630472785	41.6977684418864
ENSG00000278705.1|H4C2|protein_coding	turquoise	501.236789694231	274.854975788982	226.381813905249	48.4731618837326
ENSG00000138018.18|SELENOI|protein_coding	turquoise	471.150869244448	274.367244847073	196.783624397375	77.5836204496979
