GeneName	Reg	log2FoldChange
ENSG00000274391.5|TPTE|protein_coding	Down	-5.47426122957038
ENSG00000179709.8|NLRP8|protein_coding	Down	-4.70088878074681
ENSG00000237763.9|AMY1A|protein_coding	Down	-4.24310349079436
ENSG00000286135.1|AL603764.2|protein_coding	Down	-4.0013255730485
ENSG00000241149.3|ZNF722P|protein_coding	Down	-3.98320201956698
ENSG00000171557.17|FGG|protein_coding	Down	-3.7619799268412
ENSG00000166961.15|MS4A15|protein_coding	Down	-3.73891560027995
ENSG00000178602.8|OTOS|protein_coding	Down	-3.6140981153526
ENSG00000153498.12|SPACA7|protein_coding	Down	-3.55187885644582
ENSG00000106038.13|EVX1|protein_coding	Down	-3.40440429524721
ENSG00000124568.12|SLC17A1|protein_coding	Down	-3.28742871878693
ENSG00000125823.12|CSTL1|protein_coding	Down	-3.18383140103698
ENSG00000016082.15|ISL1|protein_coding	Down	-3.14414367736761
ENSG00000184709.7|LRRC26|protein_coding	Down	-3.1123463611986
ENSG00000077264.15|PAK3|protein_coding	Down	-3.02842154432301
ENSG00000078898.7|BPIFB2|protein_coding	Down	-3.00347529208713
ENSG00000134323.12|MYCN|protein_coding	Down	-2.96930685967556
ENSG00000225899.8|FRG2B|protein_coding	Down	-2.92779698906223
ENSG00000166006.14|KCNC2|protein_coding	Down	-2.88031910504298
ENSG00000138823.13|MTTP|protein_coding	Down	-2.85249349517593
ENSG00000172457.7|OR9G4|protein_coding	Down	-2.82876604077818
ENSG00000164266.11|SPINK1|protein_coding	Down	-2.81458350725796
ENSG00000179520.11|SLC17A8|protein_coding	Down	-2.80678169002097
ENSG00000189139.6|FSCB|protein_coding	Down	-2.80011426501522
ENSG00000183434.10|TFDP3|protein_coding	Down	-2.74845733399295
ENSG00000009765.15|IYD|protein_coding	Down	-2.70253591922088
ENSG00000196660.11|SLC30A10|protein_coding	Down	-2.69269292241584
ENSG00000265203.2|RBP3|protein_coding	Down	-2.65064654587908
ENSG00000106536.21|POU6F2|protein_coding	Down	-2.54255913399025
ENSG00000087495.17|PHACTR3|protein_coding	Down	-2.50896315604955
ENSG00000007314.12|SCN4A|protein_coding	Down	-2.48516897249839
ENSG00000125931.11|CITED1|protein_coding	Down	-2.4580978278421
ENSG00000124227.5|ANKRD60|protein_coding	Down	-2.43624054543812
ENSG00000144191.12|CNGA3|protein_coding	Down	-2.43186792959294
ENSG00000196132.14|MYT1|protein_coding	Down	-2.42286153176529
ENSG00000224960.5|PPP4R3C|protein_coding	Down	-2.41826712701669
ENSG00000100095.19|SEZ6L|protein_coding	Down	-2.41707063335952
ENSG00000185002.10|RFX6|protein_coding	Down	-2.40395332163048
ENSG00000179083.6|FAM133A|protein_coding	Down	-2.38604368431853
ENSG00000009709.12|PAX7|protein_coding	Down	-2.38510904517266
ENSG00000123999.5|INHA|protein_coding	Down	-2.38259800693731
ENSG00000184697.7|CLDN6|protein_coding	Down	-2.36329913810047
ENSG00000078328.22|RBFOX1|protein_coding	Down	-2.32514221866546
ENSG00000243480.7|AMY2A|protein_coding	Down	-2.29765612249169
ENSG00000151322.19|NPAS3|protein_coding	Down	-2.28860142243393
ENSG00000164744.13|SUN3|protein_coding	Down	-2.28246647923186
ENSG00000165970.12|SLC6A5|protein_coding	Down	-2.25981758137732
ENSG00000173626.10|TRAPPC3L|protein_coding	Down	-2.25942751838482
ENSG00000174914.3|OR9G1|protein_coding	Down	-2.24989769303687
ENSG00000171564.12|FGB|protein_coding	Down	-2.24313222753407
ENSG00000154646.9|TMPRSS15|protein_coding	Down	-2.23084737523857
ENSG00000183379.9|SYNDIG1L|protein_coding	Down	-2.20679693008353
ENSG00000180432.6|CYP8B1|protein_coding	Down	-2.20393760790976
ENSG00000132437.18|DDC|protein_coding	Down	-2.19364968366514
ENSG00000177398.18|UMODL1|protein_coding	Down	-2.18726482045102
ENSG00000120242.4|IFNA8|protein_coding	Down	-2.16439396127951
ENSG00000108231.14|LGI1|protein_coding	Down	-2.15707231168008
ENSG00000180305.5|WFDC10A|protein_coding	Down	-2.13543104480116
ENSG00000134389.10|CFHR5|protein_coding	Down	-2.12051951010398
ENSG00000164093.17|PITX2|protein_coding	Down	-2.11995930266276
ENSG00000156096.14|UGT2B4|protein_coding	Down	-2.0938829968685
ENSG00000182256.13|GABRG3|protein_coding	Down	-2.0898405371559
ENSG00000178394.5|HTR1A|protein_coding	Down	-2.08831029703377
ENSG00000160180.15|TFF3|protein_coding	Down	-2.06955296225351
ENSG00000184601.11|C14orf180|protein_coding	Down	-2.04305806826112
ENSG00000204347.4|BTBD17|protein_coding	Down	-2.04062918696039
ENSG00000112818.10|MEP1A|protein_coding	Down	-2.0364622730603
ENSG00000181009.5|OR52N5|protein_coding	Down	-2.01429081425791
ENSG00000162670.11|BRINP3|protein_coding	Down	-1.99476300566867
ENSG00000180875.5|GREM2|protein_coding	Down	-1.98803890418086
ENSG00000144648.16|ACKR2|protein_coding	Down	-1.97598360100081
ENSG00000163286.9|ALPG|protein_coding	Down	-1.96927036096327
ENSG00000229544.9|NKX1-2|protein_coding	Down	-1.96666493438515
ENSG00000255298.4|OR8G5|protein_coding	Down	-1.96296620270378
ENSG00000239998.6|LILRA2|protein_coding	Down	-1.96189193236452
ENSG00000183559.12|C10orf120|protein_coding	Down	-1.96143261386093
ENSG00000112246.10|SIM1|protein_coding	Down	-1.95531078965318
ENSG00000147246.10|HTR2C|protein_coding	Down	-1.93411390060536
ENSG00000274183.2|H2AB1|protein_coding	Down	-1.91463509131868
ENSG00000287694.1|AC106741.1|protein_coding	Down	-1.90217381573131
ENSG00000284680.1|OR8B2|protein_coding	Down	-1.89296359598419
ENSG00000214128.11|TMEM213|protein_coding	Down	-1.88474675551843
ENSG00000131059.12|BPIFA3|protein_coding	Down	-1.86483383881962
ENSG00000183971.10|NPW|protein_coding	Down	-1.83575431738434
ENSG00000181273.2|OR5AK2|protein_coding	Down	-1.83569888263215
ENSG00000146166.17|LGSN|protein_coding	Down	-1.83523117788526
ENSG00000214782.7|MS4A18|protein_coding	Down	-1.82718467986144
ENSG00000163993.7|S100P|protein_coding	Down	-1.82003931450316
ENSG00000153930.12|ANKFN1|protein_coding	Down	-1.81756220856273
ENSG00000171054.8|OR13H1|protein_coding	Down	-1.79374567859783
ENSG00000286015.1|CR589904.2|protein_coding	Down	-1.79135205813074
ENSG00000188655.10|RNASE9|protein_coding	Down	-1.7857531871229
ENSG00000241186.10|TDGF1|protein_coding	Down	-1.76925180230354
ENSG00000130643.9|CALY|protein_coding	Down	-1.76455548185843
ENSG00000080511.5|RDH8|protein_coding	Down	-1.7507105828219
ENSG00000176571.12|CNBD1|protein_coding	Down	-1.73925810137827
ENSG00000284638.1|AC005551.1|protein_coding	Down	-1.72734882785903
ENSG00000164265.9|SCGB3A2|protein_coding	Down	-1.72687446760542
ENSG00000096088.16|PGC|protein_coding	Down	-1.72516843487225
ENSG00000120659.15|TNFSF11|protein_coding	Down	-1.71429149562294
ENSG00000175426.11|PCSK1|protein_coding	Down	-1.70957314265223
ENSG00000196136.18|SERPINA3|protein_coding	Down	-1.70819880992028
ENSG00000021852.13|C8B|protein_coding	Down	-1.70596840070226
ENSG00000213759.10|UGT2B11|protein_coding	Down	-1.70546386487382
ENSG00000170777.10|TPD52L3|protein_coding	Down	-1.70314023274523
ENSG00000183185.9|GABRR3|protein_coding	Down	-1.70108393385627
ENSG00000205097.7|FRG2|protein_coding	Down	-1.69773101245155
ENSG00000288607.1|ELOA3B|protein_coding	Down	-1.69144433005057
ENSG00000204518.2|AADACL4|protein_coding	Down	-1.69043441775495
