Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell adhesion molecules	4/148	0.000838743568172503	0.0788418954082153	10.3768343815514	73.5054014926525	CDH3;L1CAM;HLA-G;VSIR
Viral carcinogenesis	4/203	0.00267394691070168	0.0966991643939834	7.48800606807623	44.3604429605536	EGR2;PKM;ACTN1;HLA-G
Amoebiasis	3/102	0.00308614354448883	0.0966991643939834	11.1358024691358	64.3742145218157	ACTN1;LAMA3;HSPB1
Bladder cancer	2/41	0.00609345280129121	0.114556912664275	18.5585081585082	94.6584205422719	MMP9;HBEGF
Ferroptosis	2/41	0.00609345280129121	0.114556912664275	18.5585081585082	94.6584205422719	PRNP;FTL
Glycosaminoglycan biosynthesis	2/53	0.0100188655419893	0.156962226824499	14.1832442067736	65.2895211107085	HS3ST3B1;EXT1
Human papillomavirus infection	4/331	0.0146281894740426	0.196435687222858	4.52737868559229	19.1272913197744	PKM;LAMA3;ATP6V1E1;HLA-G
Epithelial cell signaling in Helicobacter pylori infection	2/70	0.0170252954843732	0.200047221941385	10.6283422459893	43.2898232833362	ATP6V1E1;HBEGF
Focal adhesion	3/201	0.0196664643189527	0.205405293997951	5.54012345679012	21.7662609281863	ACTN1;LAMA3;PARVB
Leukocyte transendothelial migration	2/114	0.0419453826701316	0.394286597099237	6.43863636363636	20.4194071436001	ACTN1;MMP9
Estrogen signaling pathway	2/137	0.0582209986014041	0.411504093772259	5.33548821548822	15.1715097664412	MMP9;HBEGF
Renin-angiotensin system	1/23	0.063569044167743	0.411504093772259	16.1696428571429	44.5575311828709	MME
Phagosome	2/152	0.0698275164931172	0.411504093772259	4.79830303030303	12.771773343156	ATP6V1E1;HLA-G
Collecting duct acid secretion	1/27	0.0742117668943127	0.411504093772259	13.6792582417582	35.577460203094	ATP6V1E1
Hepatitis B	2/162	0.077951612778185	0.411504093772259	4.49613636363636	11.4726427586529	EGR2;MMP9
Protein processing in endoplasmic reticulum	2/171	0.0855054837902568	0.411504093772259	4.25476062399139	10.4631999669891	PPP1R15A;DNAJB1
Alzheimer disease	3/369	0.0880575665767493	0.411504093772259	2.97161505768063	7.22032481265284	MME;WIPI1;DKK1
Axon guidance	2/182	0.095025695649462	0.411504093772259	3.99252525252525	9.39683914870509	SEMA7A;L1CAM
African trypanosomiasis	1/37	0.100301423014591	0.411504093772259	9.87450396825397	22.7071663783518	APOL1
Allograft rejection	1/38	0.102870312111443	0.411504093772259	9.60714285714286	21.8493923234958	HLA-G
Epstein-Barr virus infection	2/202	0.113061163175784	0.411504093772259	3.58963636363636	7.82478389525457	RUNX3;HLA-G
Graft-versus-host disease	1/42	0.113074001483291	0.411504093772259	8.66811846689896	18.8940087241774	HLA-G
Type I diabetes mellitus	1/43	0.115607055966254	0.411504093772259	8.46130952380952	18.2557684805815	HLA-G
Proteoglycans in cancer	2/205	0.115839641326654	0.411504093772259	3.53605015673981	7.62212742257285	MMP9;HBEGF
Type II diabetes mellitus	1/46	0.123163650914952	0.411504093772259	7.89603174603175	16.5361958888569	PKM
Pyruvate metabolism	1/47	0.125668391528993	0.411504093772259	7.72399068322981	16.0203959241486	PKM
Amino sugar and nucleotide sugar metabolism	1/48	0.128166102395347	0.411504093772259	7.55927051671733	15.5299783800023	UAP1L1
Human T-cell leukemia virus 1 infection	2/219	0.129031089874118	0.411504093772259	3.30557184750733	6.76882574241991	EGR2;HLA-G
Vibrio cholerae infection	1/50	0.133140512285209	0.411504093772259	7.25	14.6185391319657	ATP6V1E1
Cholesterol metabolism	1/50	0.133140512285209	0.411504093772259	7.25	14.6185391319657	NPC1
Autoimmune thyroid disease	1/53	0.140549886661779	0.411504093772259	6.83070054945055	13.4031513552608	HLA-G
Pathways of neurodegeneration	3/475	0.153347249181555	0.411504093772259	2.29178436911488	4.29721103015687	PRNP;WIPI1;DKK1
VEGF signaling pathway	1/59	0.155182462244985	0.411504093772259	6.12222906403941	11.4066536020004	HSPB1
Shigellosis	2/246	0.155380012546397	0.411504093772259	2.93576751117735	5.46605112551176	ACTN1;WIPI1
Mineral absorption	1/60	0.157597312508525	0.411504093772259	6.0181598062954	11.1198270206998	FTL
Viral myocarditis	1/60	0.157597312508525	0.411504093772259	6.0181598062954	11.1198270206998	HLA-G
Acute myeloid leukemia	1/67	0.174312414958675	0.420226527881459	5.37797619047619	9.39481942065805	PIM1
Glycolysis / Gluconeogenesis	1/67	0.174312414958675	0.420226527881459	5.37797619047619	9.39481942065805	PKM
Retinol metabolism	1/68	0.176673530928574	0.420226527881459	5.29744136460554	9.18285877910138	CYP26B1
Central carbon metabolism in cancer	1/70	0.181375880157735	0.420226527881459	5.14337474120083	8.78068559880168	PKM
Adherens junction	1/71	0.183717149974911	0.420226527881459	5.06964285714286	8.58978959003427	ACTN1
Pathways in cancer	3/531	0.192643232764977	0.420226527881459	2.04282407407407	3.3643582955721	LAMA3;PIM1;MMP9
Synaptic vesicle cycle	1/78	0.199922842964799	0.420226527881459	4.60714285714286	7.4166880926329	ATP6V1E1
Antigen processing and presentation	1/78	0.199922842964799	0.420226527881459	4.60714285714286	7.4166880926329	HLA-G
ErbB signaling pathway	1/85	0.215812337868124	0.420226527881459	4.22172619047619	6.47336719985742	HBEGF
MicroRNAs in cancer	2/310	0.221073737724152	0.420226527881459	2.31818181818182	3.49873672231695	PIM1;MMP9
ECM-receptor interaction	1/88	0.222526832207173	0.420226527881459	4.07553366174056	6.12433536866135	LAMA3
Small cell lung cancer	1/92	0.23139169599961	0.420226527881459	3.8956043956044	5.70177547089572	LAMA3
Th1 and Th2 cell differentiation	1/92	0.23139169599961	0.420226527881459	3.8956043956044	5.70177547089572	RUNX3
GnRH signaling pathway	1/93	0.233592349484106	0.420226527881459	3.85306677018634	5.60304407844136	HBEGF
Rheumatoid arthritis	1/93	0.233592349484106	0.420226527881459	3.85306677018634	5.60304407844136	ATP6V1E1
IL-17 signaling pathway	1/94	0.235786812360155	0.420226527881459	3.81144393241167	5.50687793978934	MMP9
Prostate cancer	1/97	0.242333228157055	0.420226527881459	3.69177827380952	5.23287982318496	MMP9
Hematopoietic cell lineage	1/99	0.24666686462221	0.420226527881459	3.61607142857143	5.06147512916608	MME
AGE-RAGE signaling pathway in diabetic complications	1/100	0.248824541413001	0.420226527881459	3.57936507936508	4.97892289699759	PIM1
Protein digestion and absorption	1/103	0.255261207737552	0.420226527881459	3.47356442577031	4.74304077073063	MME
C-type lectin receptor signaling pathway	1/104	0.257394697635161	0.420226527881459	3.43966712898752	4.66812561397491	EGR2
Parathyroid hormone synthesis, secretion and action	1/106	0.261643679052145	0.420226527881459	3.37380952380952	4.52350834583932	HBEGF
Glucagon signaling pathway	1/107	0.263759203670277	0.420226527881459	3.34181266846361	4.45369623304754	PKM
TNF signaling pathway	1/112	0.274247825732366	0.42261140358758	3.19047619047619	4.12759277284914	MMP9
Toxoplasmosis	1/112	0.274247825732366	0.42261140358758	3.19047619047619	4.12759277284914	LAMA3
Osteoclast differentiation	1/127	0.304840712692292	0.440993771166208	2.80853174603175	3.33643992162767	FOSL2
Lysosome	1/128	0.306834574592679	0.440993771166208	2.78627671541057	3.29183693363426	NPC1
Purine metabolism	1/129	0.308822817679657	0.440993771166208	2.76436941964286	3.24809971280595	PKM
Relaxin signaling pathway	1/129	0.308822817679657	0.440993771166208	2.76436941964286	3.24809971280595	MMP9
Natural killer cell mediated cytotoxicity	1/131	0.312782509738064	0.440993771166208	2.72156593406593	3.16313235119551	HLA-G
Oxidative phosphorylation	1/133	0.316719912780734	0.440993771166208	2.68005952380952	3.08136480695311	ATP6V1E1
Systemic lupus erythematosus	1/135	0.32063515004325	0.440993771166208	2.6397921108742	3.00263524938993	ACTN1
Autophagy	1/137	0.324528344092845	0.440993771166208	2.60070903361345	2.92679217311524	WIPI1
Fluid shear stress and atherosclerosis	1/139	0.328399616825899	0.440993771166208	2.56275879917184	2.85369360385726	MMP9
Spinocerebellar ataxia	1/143	0.33607688262215	0.444946858682847	2.49006539235412	2.7152054712111	WIPI1
mTOR signaling pathway	1/154	0.356747550561716	0.464124769862745	2.30975723622782	2.38072888958435	ATP6V1E1
Cellular senescence	1/156	0.360437321276387	0.464124769862745	2.27972350230415	2.32631467534989	HLA-G
Necroptosis	1/159	0.365933021282609	0.464833837845476	2.23609855334539	2.24796097631479	FTL
JAK-STAT signaling pathway	1/162	0.371382318626487	0.465465839345197	2.19409937888199	2.1733064224857	PIM1
Wnt signaling pathway	1/166	0.378576531349671	0.468239394037752	2.14047619047619	2.07912378588078	DKK1
Tight junction	1/169	0.383919047196993	0.468680395279447	2.10193452380952	2.01223144796764	ACTN1
Influenza A	1/172	0.389216431105616	0.469055699024717	2.06474519632414	1.94833426734586	DNAJB1
Transcriptional misregulation in cancer	1/192	0.423406285258677	0.499451965556004	1.84667165295438	1.58707223171908	MMP9
Kaposi sarcoma-associated herpesvirus infection	1/193	0.425065502600855	0.499451965556004	1.83696056547619	1.57154180392424	HLA-G
Diabetic cardiomyopathy	1/203	0.441401804722611	0.512244069678092	1.74513790664781	1.42717325046804	MMP9
