Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
Taste transduction	3/86	0.00162526300198131	0.105642095128785	14.0772501771793	90.4053060576197	TAS2R3;TAS2R5;TAS2R4
Pathogenic Escherichia coli infection	3/197	0.0161577921815573	0.257740065525635	5.98908429351122	24.7070860049508	PAK1;MYO1A;TNFSF10
Focal adhesion	3/201	0.0170388533623679	0.257740065525635	5.86690433749257	23.8915542884495	PAK1;SPP1;ITGAV
Cardiac muscle contraction	2/87	0.0231238076828409	0.257740065525635	8.9868778280543	33.8526031973361	TPM4;SLC9A7
ECM-receptor interaction	2/88	0.0236211971779792	0.257740065525635	8.88193202146691	33.2682603674259	SPP1;ITGAV
Hypertrophic cardiomyopathy	2/90	0.0246291595740698	0.257740065525635	8.67919580419581	32.146215364773	TPM4;ITGAV
Dilated cardiomyopathy	2/96	0.0277566224412222	0.257740065525635	8.1227495908347	29.1142155700271	TPM4;ITGAV
Natural killer cell mediated cytotoxicity	2/131	0.0488380751277771	0.396809360413189	5.90846750149076	17.8391112115522	PAK1;TNFSF10
Phagosome	2/152	0.0635262427463539	0.435321563551733	5.07589743589744	13.990707202844	LAMP2;ITGAV
Axon guidance	2/182	0.0866921069717323	0.435321563551733	4.22350427350427	10.3281254111401	EFNB2;PAK1
Mucin type O-glycan biosynthesis	1/36	0.0928219065844171	0.435321563551733	10.733692722372	25.5147669177924	GALNT3
Glycine, serine and threonine metabolism	1/40	0.102598060884529	0.435321563551733	9.63086598935656	21.9288678533163	BPGM
Proteoglycans in cancer	2/205	0.105904051132462	0.435321563551733	3.740621447518	8.39852471772031	PAK1;ITGAV
Regulation of actin cytoskeleton	2/218	0.117230468617543	0.435321563551733	3.51317663817664	7.53089274471458	PAK1;ITGAV
Other types of O-glycan biosynthesis	1/47	0.119458119773416	0.435321563551733	8.16242821985234	17.3434412143397	GALNT3
Sphingolipid metabolism	1/49	0.124217908572929	0.435321563551733	7.82154088050315	16.3135280427178	UGCG
Salmonella infection	2/249	0.145363123474821	0.435321563551733	3.06742447835565	5.91559058156709	PAK1;TNFSF10
Notch signaling pathway	1/59	0.147640645349346	0.435321563551733	6.469746258946	12.3764565722996	DTX2
GnRH secretion	1/64	0.159120334470897	0.435321563551733	5.95477687930518	10.945442883266	SPP1
Inflammatory bowel disease	1/65	0.161397994770527	0.435321563551733	5.86143867924528	10.6905721916829	MAF
Glycolysis / Gluconeogenesis	1/67	0.165935164762236	0.435321563551733	5.68324757004002	10.2080113882047	BPGM
Renal cell carcinoma	1/69	0.170448239074148	0.435321563551733	5.51553829078801	9.75877212797992	PAK1
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.172695779608788	0.435321563551733	5.43532950505879	9.54565466710306	PAK1
p53 signaling pathway	1/73	0.179402602204527	0.435321563551733	5.208071278826	8.94810613536076	CD82
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.188262080976954	0.435321563551733	4.93296921549156	8.23766513222537	ITGAV
B cell receptor signaling pathway	1/81	0.197027661980516	0.435321563551733	4.68537735849057	7.61097919477506	DAPP1
ErbB signaling pathway	1/85	0.205700321840338	0.435321563551733	4.46136567834681	7.05491332786129	PAK1
Small cell lung cancer	1/92	0.22065678694232	0.435321563551733	4.11673232427949	6.22098681604758	ITGAV
Th1 and Th2 cell differentiation	1/92	0.22065678694232	0.435321563551733	4.11673232427949	6.22098681604758	MAF
Human papillomavirus infection	2/331	0.224815939187292	0.435321563551733	2.29331306990881	3.4227084327716	SPP1;ITGAV
Staphylococcus aureus infection	1/95	0.226981760663197	0.435321563551733	3.98474508229627	5.90892115891192	KRT32
Fc gamma R-mediated phagocytosis	1/97	0.231170391493478	0.435321563551733	3.90133647798742	5.71389824389937	PAK1
Viral protein interaction with cytokine and cytokine receptor	1/100	0.237411602446854	0.435321563551733	3.78254240518391	5.43914439332398	TNFSF10
T cell receptor signaling pathway	1/104	0.245655919987799	0.435321563551733	3.63491481956402	5.10277855842239	PAK1
Toll-like receptor signaling pathway	1/104	0.245655919987799	0.435321563551733	3.63491481956402	5.10277855842239	SPP1
C-type lectin receptor signaling pathway	1/104	0.245655919987799	0.435321563551733	3.63491481956402	5.10277855842239	PAK1
PI3K-Akt signaling pathway	2/354	0.247798428483294	0.435321563551733	2.1409527972028	2.98692813975825	SPP1;ITGAV
Thyroid hormone signaling pathway	1/121	0.279729091230895	0.461845804927614	3.11729559748428	3.97122783809715	ITGAV
Lysosome	1/128	0.293315976631975	0.461845804927614	2.94443619075917	3.6113652169583	LAMP2
FoxO signaling pathway	1/131	0.299061626422838	0.461845804927614	2.87605224963716	3.47169882932393	TNFSF10
Apelin signaling pathway	1/137	0.310415715587462	0.461845804927614	2.74833518312986	3.21512029592953	SPP1
Autophagy	1/137	0.310415715587462	0.461845804927614	2.74833518312986	3.21512029592953	LAMP2
Estrogen signaling pathway	1/137	0.310415715587462	0.461845804927614	2.74833518312986	3.21512029592953	KRT32
