Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
Metabolism of xenobiotics by cytochrome P450	16/76	1.11615297681907E-08	2.8908362099614E-06	7.20600093764651	131.9475901823	UGT1A10;GSTM2;UGT1A1;ADH1C;AKR1C1;ADH7;ADH6;GSTA4;CYP2S1;GSTA1;CYP1A1;UGT1A4;UGT1A9;UGT1A7;CBR3;UGT1A6
Steroid hormone biosynthesis	13/61	2.27928570934873E-07	2.95167499360661E-05	7.29239612511671	111.531609421588	UGT1A10;UGT1A1;AKR1C1;AKR1C3;AKR1C2;AKR1C4;SULT1E1;HSD17B2;CYP1A1;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Retinol metabolism	13/68	8.61448345097814E-07	7.43717071267779E-05	6.36195569136746	88.8424892662528	UGT1A10;UGT1A1;ADH1C;ADH7;CYP2C18;ADH6;DHRS9;CYP2S1;CYP1A1;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Drug metabolism	14/108	3.67765160987972E-05	0.00238127941739712	4.00623675807944	40.9062856244627	UGT1A10;GSTM2;UGT1A1;ADH1C;ADH7;FMO4;ADH6;GSTA4;GSTA1;UGT1A4;UGT1A9;UGT1A7;CES1;UGT1A6
Signaling pathways regulating pluripotency of stem cells	16/143	6.57152534444933E-05	0.00340405012842475	3.3925379580717	32.6707494673319	WNT2B;WNT3A;FZD7;WNT5A;WNT7A;PAX6;FZD10;KLF4;SOX2;POU5F1B;ACVR1C;WNT11;ID3;HOXA1;FGFR3;FGFR2
Basal cell carcinoma	10/63	8.46742979992164E-05	0.00365510719696617	5.05776163785164	47.4251057092361	WNT2B;WNT11;SMO;WNT3A;FZD7;WNT5A;WNT7A;FZD10;KIF7;DDB2
GABAergic synapse	11/89	0.000375958665674038	0.0139104706299394	3.78070835123908	29.8147845919073	GNGT1;GABRQ;GABRR2;GABRP;GABRR1;GABARAPL1;GABRA3;SLC6A13;SLC6A11;HAP1;SLC38A2
Estrogen signaling pathway	14/137	0.000474119335790516	0.015349613496218	3.05704740076854	23.3987982577462	CALML5;NCOA3;TGFA;KRT23;CALML3;HSPA2;KRT31;KRT33A;KRT17;KRT38;KRT16;KRT37;KRT15;KRT14
Pathways in cancer	35/531	0.00054385719507676	0.0156510015027646	1.91472531698676	14.3926529377708	CEBPA;WNT2B;CALML5;LAMA1;TGFA;CALML3;FZD10;DLL1;GNGT1;RPS6KA5;WNT11;HEY1;GSTM2;JAG1;IFNGR1;WNT3A;FZD7;NCOA3;WNT5A;WNT7A;LAMB1;KIF7;PGF;DDB2;MAPK10;CDK6;SMO;LPAR5;GSTA4;GSTA1;COL4A5;ITGA6;FGFR3;FGFR2;NFE2L2
Ascorbate and aldarate metabolism	6/30	0.000635645880064062	0.0164632282936592	6.6744105409154	49.1294612570664	UGT1A10;UGT1A1;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Porphyrin and chlorophyll metabolism	7/43	0.000838495849971106	0.019742765922047	5.1951774691358	36.8021224846674	UGT1A10;HEPHL1;UGT1A1;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Pentose and glucuronate interconversions	6/34	0.00127260881148312	0.0274671401811774	5.71973449574004	38.1316756206277	UGT1A10;UGT1A1;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Staphylococcus aureus infection	10/95	0.00236764205402346	0.0471707147686213	3.14841250307654	19.0348635236513	KRT33A;KRT17;KRT38;KRT16;KRT37;KRT15;KRT14;KRT23;DSG1;KRT31
Breast cancer	13/147	0.00278040863590211	0.0506785660005069	2.60051632593336	15.3044478233226	JAG1;WNT2B;WNT3A;FZD7;NCOA3;WNT5A;WNT7A;FZD10;DLL1;DDB2;CDK6;WNT11;HEY1
Chemical carcinogenesis	18/239	0.00293505208497144	0.0506785660005069	2.18864119370217	12.762032634153	UGT1A10;GSTM2;JAG1;UGT1A1;EPHX2;AKR1C2;KLF4;CYP2C18;DLL1;KLF5;GSTA4;BCL6;GSTA1;CYP1A1;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Hepatocellular carcinoma	14/168	0.00336635340594371	0.0544928457587138	2.4377151600153	13.8801677699696	GSTM2;WNT2B;WNT3A;FZD7;WNT5A;TGFA;WNT7A;FZD10;DDB2;CDK6;WNT11;GSTA4;GSTA1;NFE2L2
Melanogenesis	9/101	0.0112725260193907	0.171740249354246	2.61337350127165	11.7219911091801	WNT2B;WNT11;CALML5;WNT3A;FZD7;WNT5A;WNT7A;CALML3;FZD10
Folate biosynthesis	4/26	0.0136929168413152	0.190066692322352	4.84119200301773	20.77295747571	TPH1;TH;PAH;AKR1C3
Nicotine addiction	5/40	0.0143829289861396	0.190066692322352	3.80648990898298	16.146038731341	GABRQ;GABRR2;GABRP;GABRR1;GABRA3
Hippo signaling pathway	12/163	0.0161155143190382	0.190066692322352	2.12535543926272	8.77340954706478	SOX2;WNT2B;WNT11;PPP2R2C;WNT3A;FZD7;WNT5A;SNAI2;WNT7A;FZD10;BMP7;TP73
Bile secretion	8/90	0.0166316064627485	0.190066692322352	2.60402320295804	10.667251865736	UGT1A10;SLCO1B1;UGT1A1;SLCO1A2;UGT1A4;UGT1A9;UGT1A7;UGT1A6
Morphine addiction	8/91	0.017674442303625	0.190066692322352	2.57251537443236	10.3817346794286	GNGT1;GABRQ;GABRR2;GABRP;GABRR1;GRK3;GRK5;GABRA3
Phototransduction	4/28	0.0177147096743886	0.190066692322352	4.43729829414477	17.8972211347854	GNGT1;CALML5;GUCA1B;CALML3
Proteoglycans in cancer	14/205	0.017985220962854	0.190066692322352	1.96168391062027	7.88244793320933	WNT2B;WNT3A;FZD7;WNT5A;WNT7A;FZD10;ANK3;ANK1;HOXD10;TIAM1;WNT11;SMO;GPC3;PDCD4
Wnt signaling pathway	12/166	0.0183462058226209	0.190066692322352	2.08362546544365	8.33102740176822	TLE4;MAPK10;VANGL2;WNT2B;WNT11;WNT3A;FZD7;WNT5A;WNT7A;FZD10;SOST;NOTUM
Neuroactive ligand-receptor interaction	20/341	0.0249471552755479	0.248512046783342	1.67016968719569	6.1645887667686	GABRQ;GABRP;CHRM3;OXTR;GABRA3;TACR3;HTR2C;CCK;TACR1;NTS;ADRA2B;GHR;GABRR2;GABRR1;UCN2;P2RY1;F2RL1;IAPP;S1PR5;F2RL2
Pyruvate metabolism	5/47	0.0272875060509431	0.261757928414602	3.17092072285978	11.4195203065683	ADH1C;ME1;ADH7;ACSS1;ADH6
Neurotrophin signaling pathway	9/119	0.029602980653615	0.273827571045939	2.1836794125095	7.68628998175435	MAPK10;NGFR;RPS6KA5;CALML5;MATK;CALML3;FOXO3;MAP3K5;TP73
Tyrosine metabolism	4/36	0.0406454894208586	0.363006267586289	3.32659059474412	10.6546286039867	ADH1C;TH;ADH7;ADH6
Gastric cancer	10/149	0.0456729847582365	0.394310101746108	1.91986996177117	5.92519540385929	WNT2B;WNT11;CDX2;WNT3A;FZD7;WNT5A;WNT7A;FZD10;FGFR2;DDB2
p53 signaling pathway	6/73	0.0494045381640562	0.412766947886792	2.38549278572464	7.17487764713924	CDK6;SESN3;SERPINB5;DDB2;RPRM;TP73
Glutathione metabolism	5/57	0.0556586772509013	0.450487418999482	2.55979650543362	7.39401645963718	GPX2;GSTM2;GSTA4;IDH1;GSTA1
Inflammatory mediator regulation of TRP channels	7/98	0.0660871439478782	0.512161698081583	2.04935897435897	5.5676596159833	MAPK10;CALML5;TRPV4;HTR2C;F2RL1;CALML3;IL1RAP
Fluid shear stress and atherosclerosis	9/139	0.0672335819875437	0.512161698081583	1.84580029997857	4.98289004862668	MAPK10;GSTM2;CALML5;GSTA4;TRPV4;GSTA1;CALML3;MAP3K5;NFE2L2
Peroxisome	6/82	0.0778385201514707	0.576005049120883	2.10201474560187	5.36669347564936	PRDX1;EPHX2;IDH1;MPV17L;CROT;PEX26
Tight junction	10/169	0.089332062272585	0.642694559127764	1.67662254502075	4.04970540284813	MAPK10;TIAM1;PPP2R2C;CLDN8;NEDD4;CLDN17;AMOTL1;BVES;MAP3K5;MYL12B
Calcium signaling pathway	13/240	0.0997626808901723	0.688327719494302	1.52764718222091	3.52116733653059	CHRM3;OXTR;MCOLN3;CALML5;TACR3;HTR2C;CALML3;TACR1;ATP2B1;TRDN;CACNA1I;FGFR3;FGFR2
ECM-receptor interaction	6/88	0.100990167338932	0.688327719494302	1.94759987821792	4.46532479762017	LAMA1;COL4A5;DMP1;ITGA6;LAMB1;DSPP
mTOR signaling pathway	9/154	0.10934830912393	0.726184924694817	1.65355873595236	3.65968429656055	WNT2B;WNT11;WNT3A;FZD7;WNT5A;WNT7A;FZD10;SGK1;RNF152
Cushing syndrome	9/155	0.11258611340699	0.728995084310257	1.6421471362613	3.58650993694928	CACNA1I;CDK6;WNT2B;WNT11;WNT3A;FZD7;WNT5A;WNT7A;FZD10
