Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
Glutathione metabolism	3/57	0.00171573958430571	0.168142479261959	13.79375	87.8373730022153	GCLC;GSTO1;PGD
Endocytosis	4/252	0.0208327641537453	0.492682328879594	4.01572070232748	15.5457717558529	PRKCI;ACAP2;AP2M1;RAB7A
Phosphonate and phosphinate metabolism	1/6	0.0246459677840751	0.492682328879594	48.5658536585366	179.846251021588	PCYT1A
p53 signaling pathway	2/73	0.0369825188351183	0.492682328879594	6.90175621631021	22.7572293886089	BID;ATR
Human immunodeficiency virus 1 infection	3/212	0.0582353752110758	0.492682328879594	3.53612440191388	10.0541291555069	BID;PAK2;ATR
Thiamine metabolism	1/15	0.0604940620743172	0.492682328879594	17.3371080139373	48.6342299211245	AK4
T cell receptor signaling pathway	2/104	0.0694679582579952	0.492682328879594	4.79665940450254	12.7921613922898	DLG1;PAK2
Steroid biosynthesis	1/20	0.079843946410372	0.492682328879594	12.7715019255456	32.2822855583426	NSDHL
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.102544666741096	0.492682328879594	9.70341463414634	22.0991076635046	PIGX
Biosynthesis of unsaturated fatty acids	1/27	0.106273948269755	0.492682328879594	9.3297373358349	20.9147996697405	HACD2
Fatty acid elongation	1/27	0.106273948269755	0.492682328879594	9.3297373358349	20.9147996697405	HACD2
Butanoate metabolism	1/28	0.109987919173334	0.492682328879594	8.98373983739837	19.830570269385	EHHADH
Autophagy	2/137	0.110882590086158	0.492682328879594	3.61810699588477	7.95724259921339	ATG3;RAB7A
beta-Alanine metabolism	1/30	0.117370177258046	0.492682328879594	8.36333052985702	17.9177869218649	EHHADH
Citrate cycle (TCA cycle)	1/30	0.117370177258046	0.492682328879594	8.36333052985702	17.9177869218649	OGDHL
Pentose phosphate pathway	1/30	0.117370177258046	0.492682328879594	8.36333052985702	17.9177869218649	PGD
Signaling pathways regulating pluripotency of stem cells	2/143	0.118984381050753	0.492682328879594	3.46309429997373	7.37210717114867	REST;DUSP9
SNARE interactions in vesicular transport	1/33	0.128330278924571	0.492682328879594	7.578125	15.5590124469254	STX6
