GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000003147.19|ICA1|protein_coding	grey60	394.12260983434	39.9682166008768	354.154393233463	-314.186176632586
ENSG00000003989.18|SLC7A2|protein_coding	midnightblue	397.65624580177	70.568625207415	327.087620594355	-256.518995386939
ENSG00000005893.16|LAMP2|protein_coding	darkolivegreen	365.250452604592	10.4003912877831	354.850061316809	-344.449670029026
ENSG00000010292.13|NCAPD2|protein_coding	turquoise	543.025797765433	319.917399741642	223.108398023791	96.8090017178514
ENSG00000010803.16|SCMH1|protein_coding	cyan	424.47303707808	50.0840690680405	374.388968010039	-324.304898941999
ENSG00000011600.12|TYROBP|protein_coding	yellow	486.566598510262	95.891268428042	390.67533008222	-294.784061654178
ENSG00000012211.13|PRICKLE3|protein_coding	darkmagenta	366.027568441211	10.7590804765203	355.26848796469	-344.50940748817
ENSG00000014216.16|CAPN1|protein_coding	darkmagenta	346.643841965098	12.4776512458116	334.166190719286	-321.688539473474
ENSG00000018189.13|RUFY3|protein_coding	cyan	404.531498939894	49.9382419263659	354.593257013528	-304.655015087162
ENSG00000037280.16|FLT4|protein_coding	plum1	342.704727345874	5.96007574601627	336.744651599858	-330.784575853841
ENSG00000038427.16|VCAN|protein_coding	paleturquoise	378.552027361965	23.454341982372	355.097685379593	-331.643343397221
ENSG00000062038.14|CDH3|protein_coding	violet	383.451254211999	11.017244038609	372.43401017339	-361.416766134781
ENSG00000064309.14|CDON|protein_coding	midnightblue	398.419330672969	62.8371000105634	335.582230662405	-272.745130651842
ENSG00000065328.17|MCM10|protein_coding	turquoise	528.546196302865	326.649022923299	201.897173379566	124.751849543733
ENSG00000065989.16|PDE4A|protein_coding	darkorange	366.451101810525	19.0120508305072	347.439050980018	-328.427000149511
ENSG00000066405.13|CLDN18|protein_coding	darkgreen	417.621752837575	19.1590570281813	398.462695809394	-379.303638781212
ENSG00000067533.6|RRP15|protein_coding	skyblue3	306.344249228881	11.1433104673363	295.200938761544	-284.057628294208
ENSG00000068323.17|TFE3|protein_coding	darkorange	391.688313865689	18.5837946603185	373.10451920537	-354.520724545052
ENSG00000070190.13|DAPP1|protein_coding	darkolivegreen	343.223145153913	10.8598892187531	332.36325593516	-321.503366716407
ENSG00000072952.19|IRAG1|protein_coding	green	474.747202059155	98.5138341100948	376.23336794906	-277.719533838965
ENSG00000073282.14|TP63|protein_coding	darkturquoise	450.809118858136	139.090070836075	311.719048022061	-172.628977185986
ENSG00000074416.14|MGLL|protein_coding	lightyellow	470.689207100776	83.4781780855851	387.211029015191	-303.732850929606
ENSG00000075711.21|DLG1|protein_coding	skyblue	368.915402274081	21.3342437125984	347.581158561482	-326.246914848884
ENSG00000075884.14|ARHGAP15|protein_coding	orange	430.132545555954	113.734636137064	316.397909418889	-202.663273281825
ENSG00000076706.17|MCAM|protein_coding	plum1	354.71716595735	6.52626225772472	348.190903699625	-341.6646414419
ENSG00000078589.13|P2RY10|protein_coding	orange	405.855683441866	112.573153880142	293.282529561724	-180.709375681582
ENSG00000078674.18|PCM1|protein_coding	midnightblue	377.630587675346	62.6095274096183	315.021060265728	-252.411532856109
ENSG00000081237.20|PTPRC|protein_coding	orange	444.382006741953	118.563527495476	325.818479246477	-207.254951751001
ENSG00000087116.16|ADAMTS2|protein_coding	paleturquoise	390.703056115577	23.4872601219044	367.215795993673	-343.728535871768
ENSG00000087266.17|SH3BP2|protein_coding	plum1	358.999189688188	6.13089606344563	352.868293624743	-346.737397561297
ENSG00000087303.18|NID2|protein_coding	paleturquoise	358.892600930342	21.9220332537367	336.970567676605	-315.048534422869
ENSG00000089685.15|BIRC5|protein_coding	turquoise	530.201819385238	314.371813115875	215.830006269362	98.5418068465129
ENSG00000090013.11|BLVRB|protein_coding	darkmagenta	356.762281926713	11.3517536244692	345.410528302244	-334.058774677774
ENSG00000090339.9|ICAM1|protein_coding	lightyellow	455.855081664469	90.8021226768334	365.052958987636	-274.250836310802
ENSG00000093009.11|CDC45|protein_coding	turquoise	535.774147040994	319.781453229715	215.992693811279	103.788759418436
ENSG00000099337.5|KCNK6|protein_coding	violet	371.266623044099	11.0808837014804	360.185739342619	-349.104855641139
ENSG00000099994.11|SUSD2|protein_coding	blue	537.439517965694	125.038413893061	412.401104072633	-287.362690179572
ENSG00000100316.16|RPL3|protein_coding	white	386.982883446782	37.3072484288728	349.675635017909	-312.368386589036
ENSG00000101222.12|SPEF1|protein_coding	red	464.392436652084	93.5163188627735	370.87611778931	-277.359798926536
ENSG00000101445.10|PPP1R16B|protein_coding	orange	408.745372849543	111.674203236921	297.071169612622	-185.396966375701
ENSG00000101825.8|MXRA5|protein_coding	paleturquoise	357.665020446468	22.8522284092204	334.812792037248	-311.960563628027
ENSG00000102243.13|VGLL1|protein_coding	darkturquoise	416.818999709853	126.90200571077	289.916993999083	-163.014988288312
ENSG00000102760.13|RGCC|protein_coding	darkgreen	441.999129720548	17.4182428341228	424.580886886425	-407.162644052303
ENSG00000104055.16|TGM5|protein_coding	darkolivegreen	359.75182766333	11.3716273076396	348.380200355691	-337.008573048051
ENSG00000104783.14|KCNN4|protein_coding	lightyellow	427.887459553349	85.5011883346108	342.386271218739	-256.885082884128
ENSG00000105383.15|CD33|protein_coding	yellow	470.176639291546	94.508051534763	375.668587756783	-281.16053622202
ENSG00000105662.16|CRTC1|protein_coding	grey60	387.212910592881	40.6673652226322	346.545545370249	-305.878180147617
ENSG00000106009.16|BRAT1|protein_coding	orangered4	350.209546070803	12.672665459197	337.536880611606	-324.864215152409
ENSG00000106211.10|HSPB1|protein_coding	violet	395.969166637467	10.7771743143895	385.191992323078	-374.414818008688
ENSG00000106636.9|YKT6|protein_coding	orangered4	361.247449388994	11.3883121455865	349.859137243408	-338.470825097821
ENSG00000106665.16|CLIP2|protein_coding	plum1	377.307273458134	6.96530119409246	370.341972264042	-363.376671069949
ENSG00000107796.13|ACTA2|protein_coding	green	460.927771934087	100.096018039212	360.831753894875	-260.735735855663
ENSG00000107819.13|SFXN3|protein_coding	lightyellow	446.282359607813	87.7802399487644	358.502119659048	-270.721879710284
ENSG00000108479.12|GALK1|protein_coding	darkgrey	396.138782918111	23.1740719088376	372.964711009273	-349.790639100436
ENSG00000108518.8|PFN1|protein_coding	yellowgreen	388.635249102609	10.0295357757013	378.605713326907	-368.576177551206
ENSG00000108759.4|KRT32|protein_coding	darkolivegreen	360.783448113392	10.4517881863449	350.331659927047	-339.879871740702
ENSG00000108823.16|SGCA|protein_coding	green	507.880020559633	93.304999293066	414.575021266567	-321.270021973501
ENSG00000109846.9|CRYAB|protein_coding	darkturquoise	449.808964207307	125.933381847802	323.875582359504	-197.942200511702
ENSG00000109906.14|ZBTB16|protein_coding	darkgreen	370.332903538208	18.5310000502176	351.80190348799	-333.270903437773
ENSG00000110046.13|ATG2A|protein_coding	darkgrey	381.13958521812	20.3286262245995	360.810958993521	-340.482332768921
ENSG00000110047.18|EHD1|protein_coding	darkgrey	404.415638850705	20.7504972504445	383.665141600261	-362.914644349816
ENSG00000110719.10|TCIRG1|protein_coding	darkorange	394.726650818318	20.9074937501688	373.819157068149	-352.91166331798
ENSG00000110934.13|BIN2|protein_coding	orange	458.647868864565	110.892664844439	347.755204020126	-236.862539175686
ENSG00000111247.15|RAD51AP1|protein_coding	turquoise	514.361280479481	313.841379162215	200.519901317267	113.321477844948
ENSG00000111424.12|VDR|protein_coding	lightyellow	413.352651294817	82.8257454914508	330.526905803366	-247.701160311916
ENSG00000111665.12|CDCA3|protein_coding	turquoise	539.978063236166	315.972644387787	224.005418848379	91.9672255394074
ENSG00000111859.17|NEDD9|protein_coding	darkgreen	382.426919841382	18.0804424340859	364.346477407296	-346.26603497321
ENSG00000112214.10|FHL5|protein_coding	salmon	427.301389245212	35.4427473844787	391.858641860734	-356.415894476255
ENSG00000112787.13|FBRSL1|protein_coding	black	422.705498936035	82.1730437770511	340.532455158984	-258.359411381933
ENSG00000112936.19|C7|protein_coding	salmon	471.228375283838	39.4405045493774	431.787870734461	-392.347366185083
ENSG00000113070.8|HBEGF|protein_coding	violet	406.627382566972	13.0328363419725	393.594546224999	-380.561709883027
ENSG00000113448.19|PDE4D|protein_coding	midnightblue	392.776611218361	68.2475398090001	324.529071409361	-256.281531600361
ENSG00000114209.15|PDCD10|protein_coding	skyblue	390.03501231757	21.0729572795653	368.962055038004	-347.889097758439
ENSG00000114248.10|LRRC31|protein_coding	blue	509.365709499309	124.857356257671	384.508353241638	-259.650996983966
ENSG00000114331.15|ACAP2|protein_coding	skyblue	394.564280033365	20.4109192225395	374.153360810826	-353.742441588286
ENSG00000115163.15|CENPA|protein_coding	turquoise	532.132180113123	321.048612812558	211.083567300566	109.965045511992
ENSG00000115525.18|ST3GAL5|protein_coding	brown	448.496559281628	95.9305753516917	352.565983929936	-256.635408578244
ENSG00000115756.13|HPCAL1|protein_coding	darkorange	381.272680762176	20.9282384319946	360.344442330182	-339.416203898187
ENSG00000115884.11|SDC1|protein_coding	darkmagenta	381.540389860357	13.1412625045336	368.399127355823	-355.25786485129
ENSG00000116285.13|ERRFI1|protein_coding	darkorange	384.907111342681	19.6319385309262	365.275172811755	-345.643234280829
ENSG00000116406.19|EDEM3|protein_coding	skyblue3	330.311788176555	10.4422008572342	319.869587319321	-309.427386462087
ENSG00000116747.13|RO60|protein_coding	skyblue3	312.298244400676	11.8201611299301	300.478083270746	-288.657922140816
ENSG00000117091.10|CD48|protein_coding	orange	408.138635539018	107.376234435953	300.762401103064	-193.386166667111
ENSG00000117335.20|CD46|protein_coding	skyblue3	362.125906314226	10.4325957557938	351.693310558432	-341.260714802638
ENSG00000117984.15|CTSD|protein_coding	lightyellow	449.802856167644	81.3913912866611	368.411464880983	-287.020073594322
ENSG00000118307.20|CFAP94|protein_coding	red	472.964843408828	91.6535616362683	381.31128177256	-289.657720136291
ENSG00000118492.17|ADGB|protein_coding	red	434.174703229899	93.3198615703133	340.854841659586	-247.534980089273
ENSG00000119661.15|DNAL1|protein_coding	cyan	432.496765288459	55.2729298321497	377.223835456309	-321.950905624159
ENSG00000121152.10|NCAPH|protein_coding	turquoise	538.825189733443	315.208356034108	223.616833699335	91.5915223347729
ENSG00000121797.10|CCRL2|protein_coding	yellowgreen	372.129162150621	10.8825891180473	361.246573032574	-350.363983914526
ENSG00000122068.13|FYTTD1|protein_coding	skyblue	408.285075364271	20.2642672614501	388.020808102821	-367.756540841371
ENSG00000122641.11|INHBA|protein_coding	paleturquoise	383.828617209617	22.6055535522028	361.223063657414	-338.617510105211
ENSG00000122679.8|RAMP3|protein_coding	darkgreen	395.109758482946	18.075814487212	377.033943995734	-358.958129508522
ENSG00000123119.12|NECAB1|protein_coding	salmon	458.992309312446	36.1488220440444	422.843487268402	-386.694665224357
ENSG00000123159.16|GIPC1|protein_coding	darkmagenta	367.361865668267	11.6039194304374	355.75794623783	-344.154026807392
ENSG00000123892.12|RAB38|protein_coding	darkolivegreen	394.340650055952	11.578922592739	382.761727463214	-371.182804870475
ENSG00000125538.12|IL1B|protein_coding	yellowgreen	357.329043184751	11.81242140246	345.516621782291	-333.704200379831
ENSG00000125848.10|FLRT3|protein_coding	darkgreen	413.60553442171	17.9894476325975	395.616086789112	-377.626639156515
ENSG00000126461.15|SCAF1|protein_coding	black	400.916681243989	81.4764308441547	319.440250399835	-237.96381955568
ENSG00000128422.17|KRT17|protein_coding	darkturquoise	422.137624836631	127.537997876958	294.599626959673	-167.061629082715
ENSG00000129538.14|RNASE1|protein_coding	blue	530.326719630895	129.645373423805	400.68134620709	-271.035972783285
ENSG00000129667.13|RHBDF2|protein_coding	darkgrey	386.009793002424	18.9169578972202	367.092835105204	-348.175877207984
ENSG00000130176.8|CNN1|protein_coding	green	469.148424373296	92.1064319019957	377.0419924713	-284.935560569305
ENSG00000130255.13|RPL36|protein_coding	white	354.996700146734	35.5590850224242	319.437615124309	-283.878530101885
ENSG00000130479.11|MAP1S|protein_coding	darkorange	371.073136869678	19.5771120075262	351.496024862152	-331.918912854625
ENSG00000130635.16|COL5A1|protein_coding	paleturquoise	387.674931661206	25.0670429709806	362.607888690226	-337.540845719245
ENSG00000131042.15|LILRB2|protein_coding	yellowgreen	389.354720997568	11.1789055740578	378.17581542351	-366.996909849452
ENSG00000131400.8|NAPSA|protein_coding	brown	480.583159091862	107.376862335897	373.206296755965	-265.829434420068
ENSG00000131435.13|PDLIM4|protein_coding	darkmagenta	380.942484898599	11.5640574677903	369.378427430809	-357.814369963019
ENSG00000132470.14|ITGB4|protein_coding	darkmagenta	365.834242939836	11.3951991020229	354.439043837813	-343.04384473579
ENSG00000134516.18|DOCK2|protein_coding	orange	469.198536144012	108.773449778159	360.425086365853	-251.651636587694
ENSG00000134686.18|PHC2|protein_coding	darkorange	400.404973943699	18.8443932483312	381.560580695368	-362.716187447037
ENSG00000134871.19|COL4A2|protein_coding	plum1	377.126303544873	6.94290724350164	370.183396301371	-363.24048905787
ENSG00000135047.16|CTSL|protein_coding	yellowgreen	377.978836342239	11.6415106569555	366.337325685283	-354.695815028328
ENSG00000135077.9|HAVCR2|protein_coding	yellow	461.874940367093	94.9299270629557	366.945013304137	-272.015086241181
ENSG00000135926.15|TMBIM1|protein_coding	darkmagenta	373.274040933953	11.7299392307691	361.544101703184	-349.814162472415
ENSG00000136247.15|ZDHHC4|protein_coding	orangered4	330.133427493614	10.9829070514706	319.150520442144	-308.167613390673
ENSG00000136271.10|DDX56|protein_coding	orangered4	334.592978723451	11.4642226368003	323.128756086651	-311.66453344985
ENSG00000136280.17|CCM2|protein_coding	orangered4	354.03199319019	11.3714913135929	342.660501876597	-331.289010563004
ENSG00000136352.19|NKX2-1|protein_coding	brown	443.62171596089	102.120860129894	341.500855830995	-239.379995701101
ENSG00000137193.14|PIM1|protein_coding	violet	401.927734859808	12.6210371594549	389.306697700353	-376.685660540898
ENSG00000137699.17|TRIM29|protein_coding	darkturquoise	430.606541617769	142.426081864183	288.180459753586	-145.754377889403
ENSG00000137871.20|ZNF280D|protein_coding	cyan	384.002671364457	58.1968657343945	325.805805630063	-267.608939895668
ENSG00000138119.17|MYOF|protein_coding	lightyellow	396.652269508752	86.8451347218911	309.80713478686	-222.962000064969
ENSG00000138623.10|SEMA7A|protein_coding	violet	421.78755391926	12.9428159236394	408.844737995621	-395.901922071981
ENSG00000140548.10|ZNF710|protein_coding	grey60	379.133415640616	40.4862612776241	338.647154362992	-298.160893085368
ENSG00000140678.17|ITGAX|protein_coding	yellowgreen	422.147522441147	12.3230181060363	409.824504335111	-397.501486229075
ENSG00000140854.13|KATNB1|protein_coding	darkmagenta	338.362284715157	10.6020737214819	327.760210993675	-317.158137272193
ENSG00000141526.17|SLC16A3|protein_coding	darkgrey	404.059616518381	22.7587246355349	381.300891882846	-358.542167247311
ENSG00000143353.12|LYPLAL1|protein_coding	skyblue3	304.822177797517	9.41770779534617	295.404470002171	-285.986762206825
ENSG00000143401.15|ANP32E|protein_coding	skyblue3	316.439228731336	9.79542159034186	306.643807140994	-296.848385550653
ENSG00000143643.13|TTC13|protein_coding	skyblue3	328.82624386441	10.5482292342011	318.278014630209	-307.729785396008
ENSG00000143742.14|SRP9|protein_coding	skyblue3	317.203554518522	10.9073094459183	306.296245072603	-295.388935626685
ENSG00000144191.12|CNGA3|protein_coding	grey60	416.982557407087	48.9736423220029	368.008915085084	-319.035272763081
ENSG00000144713.13|RPL32|protein_coding	white	335.439373790738	39.3247712290766	296.114602561661	-256.789831332585
ENSG00000145934.16|TENM2|protein_coding	darkturquoise	433.38503458958	144.780628811356	288.604405778223	-143.823776966867
ENSG00000146535.14|GNA12|protein_coding	orangered4	350.297391447775	10.9058509491046	339.39154049867	-328.485689549565
ENSG00000147065.17|MSN|protein_coding	lightyellow	457.148439617787	96.988709889119	360.159729728668	-263.171019839549
ENSG00000147443.13|DOK2|protein_coding	yellow	482.923919415965	97.1850451958937	385.738874220071	-288.553829024177
ENSG00000147604.14|RPL7|protein_coding	white	370.596281376002	35.8504783102871	334.745803065715	-298.895324755428
ENSG00000148303.17|RPL7A|protein_coding	white	364.889271829156	37.0020930000114	327.887178829145	-290.885085829133
ENSG00000148841.17|ITPRIP|protein_coding	violet	408.34370368946	12.2715105896743	396.072193099786	-383.800682510111
ENSG00000149273.15|RPS3|protein_coding	white	380.087414254584	35.8440507249151	344.243363529669	-308.399312804754
ENSG00000149591.17|TAGLN|protein_coding	green	474.239442634429	104.386242229034	369.853200405396	-265.466958176362
ENSG00000151332.19|MBIP|protein_coding	brown	422.365253487753	93.2152530457044	329.150000442049	-235.934747396344
ENSG00000152270.9|PDE3B|protein_coding	midnightblue	416.374177857119	60.8662633953748	355.507914461744	-294.641651066369
ENSG00000152583.12|SPARCL1|protein_coding	salmon	476.843275045519	36.9638944813671	439.879380564152	-402.915486082785
ENSG00000153029.14|MR1|protein_coding	blue	502.762118946229	124.161696389788	378.600422556441	-254.438726166652
ENSG00000153395.10|LPCAT1|protein_coding	darkorange	390.435628070037	20.5305261692517	369.905101900785	-349.374575731534
