Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
Systemic lupus erythematosus	41/135	2.52607221216993E-17	5.99133331299773E-15	6.41867256935093	245.304213036172	H2AX;H2AW;H2AC16;H2AC13;H2AC14;SNRPD1;H3C12;H3C1;H3C10;H2BU1;H4C2;H3C3;H4C1;H4C4;H4C3;H4C6;H3C7;H4C5;H4C8;H2AZ1;H2BC9;H3C8;H2AC8;H2BC7;SSB;H2BC5;H2BC6;H2AC4;H4-16;H2BC17;H2BC18;H2BC12;H2BC13;H2AJ;H2BC15;H4C13;H2AC20;H2BC10;H4C12;H2AC21;SNRPB
Cell cycle	39/124	3.95467545412392E-17	5.99133331299773E-15	6.74463339838305	254.738382853835	YWHAE;HDAC2;MCM7;PRKDC;HDAC1;BUB1B;TTK;SMC3;PKMYT1;CDC20;ORC6;CDC45;PTTG1;ORC1;YWHAQ;CHEK2;RAD21;CHEK1;E2F1;SKP2;BUB1;CDKN2B;CDKN2A;PLK1;CDC6;YWHAZ;CDC25A;MAD2L2;DBF4;TFDP1;TFDP2;CCNE1;CDK4;CDK2;MCM3;MCM5;MCM6;ANAPC1;MAD2L1
Neutrophil extracellular trap formation	48/189	1.48981571192227E-16	1.5047138690415E-14	5.02486501125611	183.119693665304	H2AX;H2AW;HDAC2;HDAC1;AQP9;FPR2;H2AC16;H2AC13;H2AC14;H3C12;H3C1;H3C10;H2BU1;H4C2;H3C3;H4C1;H4C4;H4C3;H4C6;H3C7;H4C5;H4C8;H2AZ1;H2BC9;H3C8;H2AC8;H2BC7;H2BC5;H2BC6;H2AC4;H4-16;CYBA;H2BC17;H2BC18;MAPK12;H2BC12;H2BC13;H2AJ;H2BC15;H4C13;H2AC20;H2BC10;H4C12;HAT1;H2AC21;VDAC3;VDAC1;SLC25A5
Alcoholism	45/186	9.21784526640639E-15	6.98251778930284E-13	4.69959473150963	151.879787588681	H2AX;H2AW;HDAC2;HDAC1;H2AC16;PPP1CB;PPP1CC;H2AC13;H2AC14;GNG4;H3C12;H3C1;H3C10;H2BU1;H4C2;H3C3;H4C1;H4C4;H4C3;H4C6;H3C7;H4C5;H4C8;H2AZ1;H2BC9;H3C8;H2AC8;H2BC7;H2BC5;H2BC6;H2AC4;H4-16;H2BC17;H2BC18;H2BC12;H2BC13;H2AJ;H2BC15;H4C13;H2AC20;H2BC10;H4C12;HAT1;H2AC21;ATF4
Viral carcinogenesis	39/203	9.46567591148969E-10	5.73619960236275E-08	3.48085481447232	72.3258234897127	YWHAE;HDAC2;HDAC1;CDC20;YWHAQ;CHEK1;PMAIP1;H4C2;H2BU1;H4C1;H4C4;SKP2;H4C3;H4C6;H4C5;H4C8;H2BC9;RANBP1;CDKN2B;H2BC7;H2BC5;CDKN2A;H2BC6;H4-16;H2BC17;YWHAZ;H2BC18;H2BC12;H2BC13;H2BC15;CCNE1;CDK4;H4C13;H2BC10;H4C12;CDK2;VDAC3;LTBR;ATF4
DNA replication	14/36	2.30419778842169E-08	1.16361988315296E-06	9.20435180621083	161.867253702456	RFC5;PRIM2;FEN1;RFC3;RFC4;MCM7;LIG1;RFC2;RPA1;POLE2;MCM3;MCM5;DNA2;MCM6
RNA transport	34/186	4.05693267990593E-08	1.75607228858785E-06	3.26339599983436	55.5438273624331	NUP107;POP7;SEH1L;POP1;FMR1;EIF4A3;GLE1;FXR1;TGS1;XPO5;EIF4EBP1;RAE1;PAIP1;EIF2B5;NDC1;PRMT5;NUP155;ALYREF;PABPC4;RPP40;THOC3;RANGAP1;NUP93;XPOT;NUP50;EIF3I;GEMIN4;TACC3;STRAP;EIF3D;RAN;EIF4G1;EIF3B;NUP37
Prion disease	41/273	4.9465184376162E-07	1.87349385824714E-05	2.58137480903536	37.4800435212152	PSMD11;COX4I1;NDUFA4L2;CACNA1B;ATP5MC3;COX7A2;COX5B;UQCRH;ATP5MC1;TUBA1C;STIP1;TUBA1B;ATP5F1A;MAPK8;ATP5F1B;PSMB5;PSMB3;PSMD2;CYC1;COX8A;HSPA8;CSNK2A1;TUBB;CYBA;COX6C;TUBB4B;COX7B2;MAPK12;COX6B1;SOD1;IL1A;IL6;PSMA4;PSMC3;VDAC3;CYCS;VDAC1;SLC25A5;HSPA1B;ATF4;HSPA1A
Ribosome biogenesis in eukaryotes	21/108	5.62680348649968E-06	0.000189435717378823	3.49812009882909	42.2851674578822	NOP56;POP7;CSNK2A1;UTP4;POP1;WDR3;RPP40;HEATR1;IMP4;PWP2;REXO2;WDR43;GNL3;RRP7A;FBL;EMG1;EIF6;DROSHA;RIOK1;UTP14A;RAN
Huntington disease	41/306	9.32268134459682E-06	0.000282477244741284	2.25588129925961	26.130009057439	HDAC2;PSMD11;HDAC1;COX4I1;NDUFA4L2;CACNA1B;ATP5MC3;COX7A2;COX5B;UQCRH;ATP5MC1;TUBA1C;TUBA1B;ATP5F1A;MAPK8;ATP5F1B;PSMB5;PSMB3;POLR2B;PSMD2;POLR2F;CYC1;POLR2H;COX8A;DNAH17;TUBB;COX6C;TUBB4B;SOD2;COX7B2;COX6B1;SOD1;PSMA4;PSMC3;VDAC3;TFAM;CYCS;TAF4B;VDAC1;SLC25A5;RCOR1
Glutathione metabolism	13/57	6.01924695820493E-05	0.00157457200372904	4.26511047002533	41.448187032965	GSTM4;GSTM3;G6PD;RRM1;GSTO2;GSS;ODC1;PRDX6;SRM;GGCT;SMS;CHAC1;GCLM
Mismatch repair	8/23	6.5093254102985E-05	0.00157457200372904	7.68131585710614	74.0455008718704	RFC5;RFC3;RFC4;LIG1;MSH2;RFC2;EXO1;RPA1
