Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NOD-like receptor signaling pathway	7/181	1.0833577575694877E-7	8.666862060555903E-6	0	0	22.107439335887612	354.5597840928999	PANX1;TRPM2;RIPK2;IL1B;NOD2;CXCL3;DEFB4A
Cytokine-cytokine receptor interaction	7/295	2.892381027530099E-6	1.1569524110120397E-4	0	0	13.279610339506172	169.36058766594255	IL1RN;CCL4L2;CCL3L3;IL1B;OSM;CXCL3;CCL18
Osteoclast differentiation	5/127	7.5671374806820914E-6	2.017903328181891E-4	0	0	21.392364106988783	252.25224789523213	IL1B;LILRB2;LILRB3;LILRA5;NFKB2
Rheumatoid arthritis	4/93	4.705462149535018E-5	9.410924299070036E-4	0	0	22.89599539037741	228.14031096170396	CTSL;CCL3L3;IL1B;CXCL3
Viral protein interaction with cytokine and cytokine receptor	4/100	6.250942361496206E-5	9.712653610531349E-4	0	0	21.219017094017094	205.40418572151412	CCL4L2;CCL3L3;CXCL3;CCL18
NF-kappa B signaling pathway	4/104	7.284490207898511E-5	9.712653610531349E-4	0	0	20.366153846153846	194.03197299186857	CCL4L2;IL1B;CXCL3;NFKB2
TNF signaling pathway	4/112	9.717558048891215E-5	0.0011105780627304247	0	0	18.849952516619183	174.15454367971273	IL1B;IRF1;NOD2;CXCL3
Legionellosis	3/57	2.4979502142209975E-4	0.0024979502142209974	0	0	27.643055555555556	229.2955492154774	IL1B;CXCL3;NFKB2
Tuberculosis	4/180	5.953539816418734E-4	0.005292035392372208	0	0	11.527389277389277	85.60647810587959	RIPK2;IL1B;ITGAX;NOD2
B cell receptor signaling pathway	3/81	7.027134580790488E-4	0.005513223364804611	0	0	19.114423076923078	138.7814413815148	LILRB2;LILRB3;LILRA5
Chemokine signaling pathway	4/192	7.580682126606341E-4	0.005513223364804611	0	0	10.785051827605018	77.48776291930619	CCL4L2;CCL3L3;CXCL3;CCL18
IL-17 signaling pathway	3/94	0.001082789485515373	0.007218596570102487	0	0	16.373076923076923	111.7988847060665	IL1B;CXCL3;DEFB4A
Toll-like receptor signaling pathway	3/104	0.0014492243445094362	0.00828128196862535	0	0	14.744554455445545	96.38112427033386	CCL4L2;CCL3L3;IL1B
C-type lectin receptor signaling pathway	3/104	0.0014492243445094362	0.00828128196862535	0	0	14.744554455445545	96.38112427033386	IL1B;IRF1;NFKB2
Cytosolic DNA-sensing pathway	2/63	0.008115014693377984	0.04309654454569685	0	0	15.910435825669731	76.593462825792	CCL4L2;IL1B
Inflammatory bowel disease	2/65	0.00861930890913937	0.04309654454569685	0	0	15.40379403794038	73.22579161456777	IL1B;NOD2
Lipid and atherosclerosis	3/215	0.01102179851199968	0.05171285243054626	0	0	6.9852594339622645	31.488713282506716	CCL3L3;IL1B;CXCL3
Pertussis	2/76	0.011635391796872908	0.05171285243054626	0	0	13.106789716545814	58.37375928178501	IL1B;IRF1
Human cytomegalovirus infection	3/225	0.012454570765003382	0.05244029795790897	0	0	6.66722972972973	29.24025336561489	CCL4L2;CCL3L3;IL1B
Shigellosis	3/246	0.015798007836125512	0.06214492499268001	0	0	6.084567901234568	25.23800538101784	RIPK2;IL1B;PFN1
Salmonella infection	3/249	0.016313042810578503	0.06214492499268001	0	0	6.009451219512195	24.733641150019725	RIPK2;IL1B;PFN1
Staphylococcus aureus infection	2/95	0.017766439405557274	0.06460523420202645	0	0	10.419092578022555	41.99356945818998	FPR1;DEFB4A
Amoebiasis	2/102	0.020303338701821997	0.06767779567273999	0	0	9.686341463414633	37.747381495885506	IL1B;CXCL3
Chagas disease	2/102	0.020303338701821997	0.06767779567273999	0	0	9.686341463414633	37.747381495885506	CCL3L3;IL1B
Fluid shear stress and atherosclerosis	2/139	0.035968359931049784	0.11509875177935931	0	0	7.057147943742211	23.465832844729505	CTSL;IL1B
Pantothenate and CoA biosynthesis	1/21	0.04421377893724838	0.13604239672999502	0	0	23.73452380952381	74.02130556201558	VNN2
Rap1 signaling pathway	2/210	0.07485751889977534	0.21889512012655904	0	0	4.631566604127579	12.005802077014527	FPR1;PFN1
African trypanosomiasis	1/37	0.07661329204429566	0.21889512012655904	0	0	13.17526455026455	33.84705294145367	IL1B
Regulation of actin cytoskeleton	2/218	0.0798318708747244	0.22022585068889491	0	0	4.458220415537489	11.269634324206462	ITGAX;PFN1
Graft-versus-host disease	1/42	0.08651631693133172	0.2283469325912272	0	0	11.56562137049942	28.305959051668335	IL1B
Type I diabetes mellitus	1/43	0.08848443637910054	0.2283469325912272	0	0	11.28968253968254	27.376674104260204	IL1B
Carbohydrate digestion and absorption	1/47	0.09631558007335804	0.24034299830450803	0	0	10.305900621118013	24.11709761219115	SLC2A5
Malaria	1/50	0.10214577427941592	0.24034299830450803	0	0	9.673469387755102	22.068611238785657	IL1B
Cholesterol metabolism	1/50	0.10214577427941592	0.24034299830450803	0	0	9.673469387755102	22.068611238785657	APOE
Glycerolipid metabolism	1/61	0.12321049826006547	0.28162399602300675	0	0	7.895634920634921	16.53236217554523	GK
Lysine degradation	1/63	0.12698823837861237	0.28219608528580525	0	0	7.640168970814132	15.766717271599333	PLOD1
MAPK signaling pathway	2/294	0.13151293254233976	0.2843522865780319	0	0	3.2851653859004344	6.664451042205452	IL1B;NFKB2
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.1400855459416575	0.2873549660341692	0	0	6.862663906142167	13.488579636575569	CXCL3
Prolactin signaling pathway	1/70	0.1400855459416575	0.2873549660341692	0	0	6.862663906142167	13.488579636575569	IRF1
PPAR signaling pathway	1/74	0.14748334557118625	0.29489327633577866	0	0	6.485322896281801	12.413167572325236	GK
Leishmaniasis	1/77	0.15299086490579952	0.29489327633577866	0	0	6.228383458646617	11.693024262708771	IL1B
Antigen processing and presentation	1/78	0.1548189700762838	0.29489327633577866	0	0	6.147186147186147	11.46756825568622	CTSL
