Term	Overlap	P-value	padj
NOD-like receptor signaling pathway	7/181	1.08335775756949E-07	8.6668620605559E-06
Cytokine-cytokine receptor interaction	7/295	2.8923810275301E-06	0.000115695241101204
Osteoclast differentiation	5/127	7.56713748068209E-06	0.000201790332818189
Rheumatoid arthritis	4/93	4.70546214953502E-05	0.000941092429907004
Viral protein interaction with cytokine and cytokine receptor	4/100	6.25094236149621E-05	0.000971265361053135
NF-kappa B signaling pathway	4/104	7.28449020789851E-05	0.000971265361053135
TNF signaling pathway	4/112	9.71755804889122E-05	0.00111057806273042
Legionellosis	3/57	0.0002497950214221	0.002497950214221
Tuberculosis	4/180	0.000595353981641873	0.00529203539237221
B cell receptor signaling pathway	3/81	0.000702713458079049	0.00551322336480461
Chemokine signaling pathway	4/192	0.000758068212660634	0.00551322336480461
IL-17 signaling pathway	3/94	0.00108278948551537	0.00721859657010249
Toll-like receptor signaling pathway	3/104	0.00144922434450944	0.00828128196862535
C-type lectin receptor signaling pathway	3/104	0.00144922434450944	0.00828128196862535
Cytosolic DNA-sensing pathway	2/63	0.00811501469337798	0.0430965445456969
Inflammatory bowel disease	2/65	0.00861930890913937	0.0430965445456969
